Family	Control	Requirement	Testing Procedures	Guidance
	3.3	Mask PAN when displayed (the first six and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see more than the first six/last four digits of the PAN.  Note: This requirement does not supersede stricter requirements in place for displays of cardholder data—for example, legal or payment card brand requirements for point-of-sale (POS) receipts.		The display of full PAN on items such as computer screens, payment card receipts, faxes, or paper reports can result in this data being obtained by unauthorized individuals and used fraudulently. Ensuring that full PAN is only displayed for those with a legitimate business need to see the full PAN minimizes the risk of unauthorized persons gaining access to PAN data.  The masking approach should always ensure that only the minimum number of digits is displayed as necessary to perform a specific business function. For example, if only the last four digits are needed to perform a business function, mask the PAN so that individuals performing that function can view only the last four digits. As another example, if a function needs access to the bank identification number (BIN) for routing purposes, unmask only the BIN digits (traditionally the first six digits) during that function.  This requirement relates to protection of PAN displayedon screens, paper receipts, printouts, etc., and is not to be confused with Requirement 3.4 for protection of PAN when storedin files, databases, etc.
	3.3.a		Examine written policies and procedures for masking the display of PANs to verify:  • A list of roles that need access to displays of more than the first six/last four (includes full PAN) is documented, together with a legitimate business need for each role to have such access.  • PAN must be masked when displayed such that only personnel with a legitimate business need can see more than the first six/last four digits of the PAN.  • All roles not specifically authorized to see the full PAN must only see masked PANs.	
	3.3.b		Examine system configurations to verify that full PAN is only displayed for users/roles with a documented business need, and that PAN is masked for all other requests.	
	3.3.c		Examine displays of PAN (for example, on screen, on paper receipts) to verify that PANs are masked when displaying cardholder data, and that only those with a legitimate business need are able to see more than the first six/last four digits of the PAN.	
	3.4	Render PAN unreadable anywhere it is stored (including on portable digital media, backup media, and in logs) by using any of the following approaches:  • One-way hashes based on strong cryptography, (hash must be of the entire PAN)  • Truncation (hashing cannot be used to replace the truncated segment of PAN)  • Index tokens and pads (pads must be securely stored)  • Strong cryptography with associated key-management processes and procedures.    Note:It is a relatively trivial effort for a malicious individual to reconstruct original PAN data if they have access to both the truncated and hashed version of a PAN. Where hashed and truncated versions of the same PAN are present in an entity’s environment, additional controls must be in place to ensure that the hashed and truncated versions cannot be correlated to reconstruct the original PAN.		PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception or troubleshooting logs) must all be protected.  One-way hash functions based on strong cryptography can be used to render cardholder data unreadable. Hash functions are appropriate when there is no need to retrieve the original number (one-way hashes are irreversible). It is recommended, but not currently a requirement, that an additional, random input value be added to the cardholder data prior to hashing to reduce the feasibility of an attacker comparing the data against (and deriving the PAN from) tables of pre-computed hash values.  The intent of truncation is to permanently remove a segment of PAN data so that only a portion (generally not to exceed the first six and last four digits) of the PAN is stored.  An index token is a cryptographic token that replaces the PAN based on a given index for an unpredictable value. A one-time pad is a system in which a randomly generated private key is used only once to encrypt a message that is then decrypted using a matching one-time pad and key.  The intent of strong cryptography (as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms) is that the encryption be based on an industry-tested and accepted algorithm (not a proprietary or "home-grown" algorithm) with strong cryptographic keys.  By correlating hashed and truncated versions of a given PAN, a malicious individual may easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.
	3.4.a		Examine documentation about the system used to protect the PAN, including the vendor, type of system/process, and the encryption algorithms (if applicable) to verify that the PAN is rendered unreadable using any of the following methods:  • One-way hashes based on strong cryptography,  • Truncation  • Index tokens and pads, with the pads being securely stored  • Strong cryptography, with associated key-management processes and procedures.	
	3.4.b		Examine several tables or files from a sample of data repositories to verify the PAN is rendered unreadable (that is, not stored in plain-text).	
	3.4.c		Examine a sample of removable media (for example, back-up tapes) to confirm that the PAN is rendered unreadable.	
	3.4.d		Examine a sample of audit logs, including payment application logs, to confirm that PAN is rendered unreadable or is not present in the logs.	
	3.4.e		If hashed and truncated versions of the same PAN are present in the environment, examine implemented controls to verify that the hashed and truncated versions cannot be correlated to reconstruct the original PAN.	
	3.4.1	If disk encryption is used (rather than file- or column-level database encryption), logical access must be managed separately and independently of native operating system authentication and access control mechanisms (for example, by not using local user account databases or general network login credentials). Decryption keys must not be associated with user accounts.  Note:This requirement applies in addition to all other PCI DSS encryption and key-management requirements.		The intent of this requirement is to address the acceptability of disk-level encryption for rendering cardholder data unreadable. Disk-level encryption encrypts the entire disk/partition on a computer and automatically decrypts the information when an authorized user requests it. Many disk-encryption solutions intercept operating system read/write operations and carry out the appropriate cryptographic transformations without any special action by the user other than supplying a password or pass phrase upon system startup or at the beginning of a session. Based on these characteristics of disk-level encryption, to be compliant with this requirement, the method cannot:  1) Use the same user account authenticator as the operating system, or  2) Use a decryption key that is associated with or derived from the system’s local user account database or general network login credentials.    Full disk encryption helps to protect data in the event of physical loss of a disk and therefore may be appropriate for portable devices that store cardholder data.
	3.4.1.a		If disk encryption is used, inspect the configuration and observe the authentication process to verify that logical access to encrypted file systems is implemented via a mechanism that is separate from the native operating system’s authentication mechanism (for example, not using local user account databases or general network login credentials).	
	3.4.1.b		Observe processes and interview personnel to verify that cryptographic keys are stored securely (for example, stored on removable media that is adequately protected with strong access controls).	
	3.4.1.c		Examine the configurations and observe the processes to verify that cardholder data on removable media is encrypted wherever stored.  Note:If disk encryption is not used to encrypt removable media, the data stored on this media will need to be rendered unreadable through some other method.	
	3.5	Document and implement procedures to protect keys used to secure stored cardholder data against disclosure and misuse:  Note:This requirement applies to keys used to encrypt stored cardholder data, and also applies to key-encrypting keys used to protect data-encrypting keys—such key-encrypting keys must be at least as strong as the data-encrypting key.	Examine key-management policies and procedures to verify processes are specified to protect keys used for encryption of cardholder data against disclosure and misuse and include at least the following:  • Access to keys is restricted to the fewest number of custodians necessary.  • Key-encrypting keys are at least as strong as the data-encrypting keys they protect.  • Key-encrypting keys are stored separately from data-encrypting keys.  • Keys are stored securely in the fewest possible locations and forms.	Cryptographic keys must be strongly protected because those who obtain access will be able to decrypt data. Key-encrypting keys, if used, must be at least as strong as the data-encrypting key in order to ensure proper protection of the key that encrypts the data as well as the data encrypted with that key.  The requirement to protect keys from disclosure and misuse applies to both data-encrypting keys and key-encrypting keys. Because one key-encrypting key may grant access to many data-encrypting keys, the key-encrypting keys require strong protection measures.
	3.5.1	Additional requirement for service providers only:Maintain a documented description of the cryptographic architecture that includes:  • Details of all algorithms, protocols, and keys used for the protection of cardholder data, including key strength and expiry date  • Description of the key usage for each key  • Inventory of any HSMs and other SCDs used for key management	Interview responsible personnel and review documentation to verify that a document exists to describe the cryptographic architecture, including:  • Details of all algorithms, protocols, and keys used for the protection of cardholder data, including key strength and expiry date  • Description of the key usage for each key  • Inventory of any HSMs and other SCDs used for key management	Note:This requirement applies only when the entity being assessed is a service provider.  Maintaining current documentation of the cryptographic architecture enables an entity to understand the algorithms, protocols, and cryptographic keys used to protect cardholder data, as well as the devices that generate, use and protect the keys. This allows an entity to keep pace with evolving threats to their architecture, enabling them to plan for updates as the assurance levels provided by different algorithms/key strengths changes. Maintaining such documentation also allows an entity to detect lost or missing keys or key-management devices, and identify unauthorized additions to their cryptographic architecture.
	3.5.2	Restrict access to cryptographic keys to the fewest number of custodians necessary.	Examine user access lists to verify that access to keys is restricted to the fewest number of custodians necessary.	There should be very few who have access to cryptographic keys (reducing the potential for rending cardholder data visible by unauthorized parties), usually only those who have key custodian responsibilities.
	3.5.3	Store secret and private keys used to encrypt/decrypt cardholder data in one (or more) of the following forms at all times:  • Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data-encrypting key  • Within a secure cryptographic device (such as a hardware (host) security module (HSM) or PTS-approved point-of-interaction device)  • As at least two full-length key components or key shares, in accordance with an industry-accepted method    Note:It is not required that public keys be stored in one of these forms.		Cryptographic keys must be stored securely to prevent unauthorized or unnecessary access that could result in the exposure of cardholder data.  It is not intended that the key-encrypting keys be encrypted, however they are to be protected against disclosure and misuse as defined in Requirement 3.5. If key-encrypting keys are used, storing the key-encrypting keys in physically and/or logically separate locations from the data-encrypting keys reduces the risk of unauthorized access to both keys.
	3.5.3.a		Examine documented procedures to verify that cryptographic keys used to encrypt/decrypt cardholder data must only exist in one (or more) of the following forms at all times.  • Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data-encrypting key  • Within a secure cryptographic device (such as a hardware (host) security module (HSM) or PTS-approved point-of-interaction device)  • As key components or key shares, in accordance with an industry-accepted method	
	3.5.3.b		Examine system configurations and key storage locations to verify that cryptographic keys used to encrypt/decrypt cardholder data exist in one (or more) of the following form at all times.  • Encrypted with a key-encrypting key.  • Within a secure cryptographic device (such as a hardware (host) security module (HSM) or PTS-approved point-of-interaction device).  • As key components or key shares, in accordance with an industry-accepted method.	
	3.5.3.c		Wherever key-encrypting keys are used, examine system configurations and key storage locations to verify:  • Key-encrypting keys are at least as strong as the data-encrypting keys they protect.  • Key-encrypting keys are stored separately from data-encrypting keys.	
	3.5.4	Store cryptographic keys in the fewest possible locations.	Examine key storage locations and observe processes to verify that keys are stored in the fewest possible locations.	Storing cryptographic keys in the fewest locations helps an organization to keep track and monitor all key locations, and minimizes the potential for keys to be exposed to unauthorized parties.
	3.6	Fully document and implement all key-management processes and procedures for cryptographic keys used for encryption of cardholder data, including the following:  Note:Numerous industry standards for key management are available from various resources including NIST, which can be found at http://csrc.nist.gov.		The manner in which cryptographic keys are managed is a critical part of the continued security of the encryption solution. A good key-management process, whether it is manual or automated as part of the encryption product, is based on industry standards and addresses all key elements at 3.6.1 through 3.6.8.  Providing guidance to customers on how to securely transmit, store and update cryptographic keys can help prevent keys from being mismanaged or disclosed to unauthorized entities.  This requirement applies to keys used to encrypt stored cardholder data, and any respective key-encrypting keys.  Note:Testing Procedure 3.6.a is an additional procedure that only applies if the entity being assessed is a service provider.
	3.6.a		Additional testing procedure for service provider assessments only:If the service provider shares keys with their customers for transmission or storage of cardholder data, examine the documentation that the service provider provides to their customers to verify that it includes guidance on how to securely transmit, store, and update customers’ keys, in accordance with Requirements 3.6.1 through 3.6.8 below.	
	3.6.b		Examine the key-management procedures and processes for keys used for encryption of cardholder data and perform the following:	
	3.6.1	Generation of strong cryptographic keys		The encryption solution must generate strong keys, as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronymsunder "Cryptographic Key Generation." Use of strong cryptographic keys significantly increases the level of security of encrypted cardholder data.
	3.6.1.a		Verify that key-management procedures specify how to generate strong keys.	
	3.6.1.b		Observe the procedures for generating keys to verify that strong keys are generated.	
	3.6.2	Secure cryptographic key distribution		The encryption solution must distribute keys securely, meaning the keys are distributed only to custodians identified in Requirement 3.5.2, and are never distributed in the clear.
	3.6.2.a		Verify that key-management procedures specify how to securely distribute keys.	
	3.6.2.b		Observe the method for distributing keys to verify that keys are distributed securely.	
	3.6.3	Secure cryptographic key storage		The encryption solution must store keys securely, for example, by encrypting them with a key-encrypting key. Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of cardholder data.
	3.6.3.a		Verify that key-management procedures specify how to securely store keys.	
	3.6.3.b		Observe the method for storing keys to verify that keys are stored securely.	
	3.6.4	Cryptographic key changes for keys that have reached the end of their cryptoperiod (for example, after a defined period of time has passed and/or after a certain amount of cipher-text has been produced by a given key), as defined by the associated application vendor or key owner, and based on industry best practices and guidelines (for example, NIST Special Publication 800-57).		A cryptoperiod is the time span during which a particular cryptographic key can be used for its defined purpose. Considerations for defining the cryptoperiod include, but are not limited to, the strength of the underlying algorithm, size or length of the key, risk of key compromise, and the sensitivity of the data being encrypted.  Periodic changing of encryption keys when the keys have reached the end of their cryptoperiod is imperative to minimize the risk of someone’s obtaining the encryption keys, and using them to decrypt data.
	3.6.4.a		Verify that key-management procedures include a defined cryptoperiod for each key type in use and define a process for key changes at the end of the defined cryptoperiod(s).	
	3.6.4.b		Interview personnel to verify that keys are changed at the end of the defined cryptoperiod(s).	
	3.6.5	Retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened (for example, departure of an employee with knowledge of a clear-text key component), or keys are suspected of being compromised.  Note:If retired or replaced cryptographic keys need to be retained, these keys must be securely archived (for example, by using a key-encryption key). Archived cryptographic keys should only be used for decryption/verification purposes.		Keys that are no longer used or needed, or keys that are known or suspected to be compromised, should be revoked and/or destroyed to ensure that the keys can no longer be used. If such keys need to be kept (for example, to support archived, encrypted data) they should be strongly protected.  The encryption solution should provide for and facilitate a process to replace keys that are due for replacement or that are known to be, or suspected of being, compromised.
	3.6.5.a		Verify that key-management procedures specify processes for the following:  • The retirement or replacement of keys when the integrity of the key has been weakened.  • The replacement of known or suspected compromised keys.  • Any keys retained after retiring or replacing are not used for encryption operations.	
	3.6.5.b		Interview personnel to verify the following processes are implemented:  • Keys are retired or replaced as necessary when the integrity of the key has been weakened, including when someone with knowledge of the key leaves the company.  • Keys are replaced if known or suspected to be compromised.  • Any keys retained after retiring or replacing are not used for encryption operations.	
	3.6.6	If manual clear-text cryptographic key-management operations are used, these operations must be managed using split knowledge and dual control.  Note:Examples of manual key-management operations include, but are not limited to: key generation, transmission, loading, storage and destruction.		Split knowledge and dual control of keys are used to eliminate the possibility of one person having access to the whole key. This control is applicable for manual key-management operations, or where key management is not implemented by the encryption product.  Split knowledge is a method in which two or more people separately have key components, where each person knows only their own key component, and the individual key components convey no knowledge of the original cryptographic key.  Dual control requires two or more people to perform a function, and no single person can access or use the authentication materials of another.
	3.6.6.a		Verify that manual clear-text key-management procedures specify processes for the use of the following:  • Split knowledge of keys, such that key components are under the control of at least two people who only have knowledge of their own key components; AND  • Dual control of keys, such that at least two people are required to perform any key-management operations and no one person has access to the authentication materials (for example, passwords or keys) of another.	
	3.6.6.b		Interview personnel and/or observe processes to verify that manual clear-text keys are managed with:  • Split knowledge, AND  • Dual control	
	3.6.7	Prevention of unauthorized substitution of cryptographic keys.		The encryption solution should not allow for or accept substitution of keys coming from unauthorized sources or unexpected processes.
	3.6.7.a		Verify that key-management procedures specify processes to prevent unauthorized substitution of keys.	
	3.6.7.b		Interview personnel and/or observe processes to verify that unauthorized substitution of keys is prevented.	
	3.6.8	Requirement for cryptographic key custodians to formally acknowledge that they understand and accept their key-custodian responsibilities.		This process will help ensure individuals that act as key custodians commit to the key-custodian role and understand and accept the responsibilities.
	3.6.8.a		Verify that key-management procedures specify processes for key custodians to acknowledge (in writing or electronically) that they understand and accept their key-custodian responsibilities.	
	3.6.8.b		Observe documentation or other evidence showing that key custodians have acknowledged (in writing or electronically) that they understand and accept their key-custodian responsibilities.	
	3.7	Ensure that security policies and operational procedures for protecting stored cardholder data are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for protecting stored cardholder data are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and documented operational procedures for managing the secure storage of cardholder data on a continuous basis.
4		Encrypt transmission of cardholder data across open, public networks		Sensitive information must be encrypted during transmission over networks that are easily accessed by malicious individuals. Misconfigured wireless networks and vulnerabilities in legacy encryption and authentication protocols continue to be targets of malicious individuals who exploit these vulnerabilities to gain privileged access to cardholder data environments.
	4.1	Use strong cryptography and security protocols to safeguard sensitive cardholder data during transmission over open, public networks, including the following:  • Only trusted keys and certificates are accepted.  • The protocol in use only supports secure versions or configurations.  • The encryption strength is appropriate for the encryption methodology in use.    Examples of open, public networks include but are not limited to:  • The Internet  • Wireless technologies, including 802.11 and Bluetooth  • Cellular technologies, for example, Global System for Mobile communications (GSM), Code division multiple access (CDMA)  • General Packet Radio Service (GPRS)  • Satellite communications		Sensitive information must be encrypted during transmission over public networks, because it is easy and common for a malicious individual to intercept and/or divert data while in transit.  Secure transmission of cardholder data requires using trusted keys/certificates, a secure protocol for transport, and proper encryption strength to encrypt cardholder data. Connection requests from systems that do not support the required encryption strength, and that would result in an insecure connection, should not be accepted.  Note that some protocol implementations (such as SSL, SSH v1.0, and early TLS) have known vulnerabilities that an attacker can use to gain control of the affected system. Whichever security protocol is used, ensure it is configured to use only secure versions and configurations to prevent use of an insecure connection—for example, by using only trusted certificates and supporting only strong encryption (not supporting weaker, insecure protocols or methods).  Verifying that certificates are trusted (for example, have not expired and are issued from a trusted source) helps ensure the integrity of the secure connection. Generally, the web page URL should begin with "HTTPS" and/or the web browser display a padlock icon somewhere in the window of the browser. Many TLS certificate vendors also provide a highly visible verification seal—sometimes referred to as a “security seal,” "secure site seal," or “secure trust seal”)—which may provide the ability to click on the seal to reveal information about the website. Refer to industry standards and best practices for information on strong cryptography and secure protocols (e.g., NIST SP 800-52 and SP 800-57, OWASP, etc.) Note: SSL/early TLS is not considered strong cryptography and may not be used as a security control, except by POS POI terminals that are verified as not being susceptible to known exploits and the termination points to which they connect as defined in Appendix A2.
	4.1.a		Identify all locations where cardholder data is transmitted or received over open, public networks. Examine documented standards and compare to system configurations to verify the use of security protocols and strong cryptography for all locations.	
	4.1.b		Review documented policies and procedures to verify processes are specified for the following:  • For acceptance of only trusted keys and/or certificates  • For the protocol in use to only support secure versions and configurations (that insecure versions or configurations are not supported)  • For implementation of proper encryption strength per the encryption methodology in use	
	4.1.c		Select and observe a sample of inbound and outbound transmissions as they occur (for example, by observing system processes or network traffic) to verify that all cardholder data is encrypted with strong cryptography during transit.	
	4.1.d		Examine keys and certificates to verify that only trusted keys and/or certificates are accepted.	
	4.1.e		Examine system configurations to verify that the protocol is implemented to use only secure configurations and does not support insecure versions or configurations.	
	4.1.f		Examine system configurations to verify that the proper encryption strength is implemented for the encryption methodology in use. (Check vendor recommendations/best practices.)	
	4.1.g		For TLS implementations, examine system configurations to verify that TLS is enabled whenever cardholder data is transmitted or received.  For example, for browser-based implementations:  • “HTTPS” appears as the browser Universal Record Locator (URL) protocol, and  • Cardholder data is only requested if “HTTPS” appears as part of the URL.	
	4.1.1	Ensure wireless networks transmitting cardholder data or connected to the cardholder data environment, use industry best practices to implement strong encryption for authentication and transmission.	Identify all wireless networks transmitting cardholder data or connected to the cardholder data environment. Examine documented standards and compare to system configuration settings to verify the following for all wireless networks identified:  • Industry best practices are used to implement strong encryption for authentication and transmission.  • Weak encryption (for example, WEP, SSL) is not used as a security control for authentication or transmission.	Malicious users use free and widely available tools to eavesdrop on wireless communications. Use of strong cryptography can help limit disclosure of sensitive information across wireless networks.  Strong cryptography for authentication and transmission of cardholder data is required to prevent malicious users from gaining access to the wireless network or utilizing wireless networks to access other internal networks or data.
	4.2	Never send unprotected PANs by end-user messaging technologies (for example, e-mail, instant messaging, SMS, chat, etc.).		E-mail, instant messaging, SMS, and chat can be easily intercepted by packet-sniffing during delivery across internal and public networks. Do not utilize these messaging tools to send PAN unless they are configured to provide strong encryption.  Additionally, if an entity requests PAN via end-user messaging technologies, the entity should provide a tool or method to protect these PANs using strong cryptography or render PANs unreadable before transmission.
	4.2.a		If end-user messaging technologies are used to send cardholder data, observe processes for sending PAN and examine a sample of outbound transmissions as they occur to verify that PAN is rendered unreadable or secured with strong cryptography whenever it is sent via end-user messaging technologies.	
	4.2.b		Review written policies to verify the existence of a policy stating that unprotected PANs are not to be sent via end-user messaging technologies.	
	4.3	Ensure that security policies and operational procedures for encrypting transmissions of cardholder data are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for encrypting transmissions of cardholder data are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and operational procedures for managing the secure transmission of cardholder data on a continuous basis.
5		Protect all systems against malware and regularly update anti-virus software or programs		Malicious software, commonly referred to as “malware”—including viruses, worms, and Trojans—enters the network during many business-approved activities including employee e-mail and use of the Internet, mobile computers, and storage devices, resulting in the exploitation of system vulnerabilities. Anti-virus software must be used on all systems commonly affected by malware to protect systems from current and evolving malicious software threats. Additional anti-malware solutions may be considered as a supplement to the anti-virus software; however, such additional solutions do not replace the need for anti-virus software to be in place.
	5.1	Deploy anti-virus software on all systems commonly affected by malicious software (particularly personal computers and servers).	For a sample of system components including all operating system types commonly affected by malicious software, verify that anti-virus software is deployed if applicable anti-virus technology exists.	There is a constant stream of attacks using widely published exploits, often called "zero day" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. Without an anti-virus solution that is updated regularly, these new forms of malicious software can attack systems, disable a network, or lead to compromise of data.
	5.1.1	Ensure that anti-virus programs are capable of detecting, removing, and protecting against all known types of malicious software.	Review vendor documentation and examine anti-virus configurations to verify that anti-virus programs;  • Detect all known types of malicious software,  • Remove all known types of malicious software, and  • Protect against all known types of malicious software.    Examples of types of malicious software include viruses, Trojans, worms, spyware, adware, and rootkits.	It is important to protect against ALLtypes and forms of malicious software.
	5.1.2	For systems considered to be not commonly affected by malicious software, perform periodic evaluations to identify and evaluate evolving malware threats in order to confirm whether such systems continue to not require anti-virus software.	Interview personnel to verify that evolving malware threats are monitored and evaluated for systems not currently considered to be commonly affected by malicious software, in order to confirm whether such systems continue to not require anti-virus software.	Typically, mainframes, mid-range computers (such as AS/400) and similar systems may not currently be commonly targeted or affected by malware. However, industry trends for malicious software can change quickly, so it is important for organizations to be aware of new malware that might affect their systems—for example, by monitoring vendor security notices and anti-virus news groups to determine whether their systems might be coming under threat from new and evolving malware.  Trends in malicious software should be included in the identification of new security vulnerabilities, and methods to address new trends should be incorporated into the company's configuration standards and protection mechanisms as needed
	5.2	Ensure that all anti-virus mechanisms are maintained as follows:  • Are kept current,  • Perform periodic scans  • Generate audit logs which are retained per PCI DSS Requirement 10.7.		Even the best anti-virus solutions are limited in effectiveness if they are not maintained and kept current with the latest security updates, signature files, or malware protections.  Audit logs provide the ability to monitor virus and malware activity and anti-malware reactions. Thus, it is imperative that anti-malware solutions be configured to generate audit logs and that these logs be managed in accordance with Requirement 10.
	5.2.a		Examine policies and procedures to verify that anti-virus software and definitions are required to be kept up to date.	
	5.2.b		Examine anti-virus configurations, including the master installation of the software to verify anti-virus mechanisms are:  • Configured to perform automatic updates, and  • Configured to perform periodic scans.	
	5.2.c		Examine a sample of system components, including all operating system types commonly affected by malicious software, to verify that:  • The anti-virus software and definitions are current.  • Periodic scans are performed.	
	5.2.d		Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify that:  • Anti-virus software log generation is enabled, and  • Logs are retained in accordance with PCI DSS Requirement 10.7.	
	5.3	Ensure that anti-virus mechanisms are actively running and cannot be disabled or altered by users, unless specifically authorized by management on a case-by-case basis for a limited time period.  Note:Anti-virus solutions may be temporarily disabled only if there is legitimate technical need, as authorized by management on a case-by-case basis. If anti-virus protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period of time during which anti-virus protection is not active.		Anti-virus that continually runs and is unable to be altered will provide persistent security against malware.  Use of policy-based controls on all systems to ensure anti-malware protections cannot be altered or disabled will help prevent system weaknesses from being exploited by malicious software.  Additional security measures may also need to be implemented for the period of time during which anti-virus protection is not active—for example, disconnecting the unprotected system from the Internet while the anti-virus protection is disabled, and running a full scan after it is re-enabled.
	5.3.a		Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify the anti-virus software is actively running.	
	5.3.b		Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify that the anti-virus software cannot be disabled or altered by users.	
	5.3.c		Interview responsible personnel and observe processes to verify that anti-virus software cannot be disabled or altered by users, unless specifically authorized by management on a case-by-case basis for a limited time period.	
	5.4	Ensure that security policies and operational procedures for protecting systems against malware are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for protecting systems against malware are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and operational procedures to ensure systems are protected from malware on a continuous basis.
6		Develop and maintain secure systems and applications		Unscrupulous individuals use security vulnerabilities to gain privileged access to systems. Many of these vulnerabilities are fixed by vendor-provided security patches, which must be installed by the entities that manage the systems. All systems must have all appropriate software patches to protect against the exploitation and compromise of cardholder data by malicious individuals and malicious software.Note: Appropriate software patches are those patches that have been evaluated and tested sufficiently to determine that the patches do not conflict with existing security configurations. For in-house developed applications, numerous vulnerabilities can be avoided by using standard system development processes and secure coding techniques.
	6.1	Establish a process to identify security vulnerabilities, using reputable outside sources for security vulnerability information, and assign a risk ranking (for example, as “high,” “medium,” or “low”) to newly discovered security vulnerabilities.  Note:Risk rankings should be based on industry best practices as well as consideration of potential impact. For example, criteria for ranking vulnerabilities may include consideration of the CVSS base score, and/or the classification by the vendor, and/or type of systems affected.  Methods for evaluating vulnerabilities and assigning risk ratings will vary based on an organization’s environment and risk-assessment strategy. Risk rankings should, at a minimum, identify all vulnerabilities considered to be a “high risk” to the environment. In addition to the risk ranking, vulnerabilities may be considered “critical” if they pose an imminent threat to the environment, impact critical systems, and/or would result in a potential compromise if not addressed. Examples of critical systems may include security systems, public-facing devices and systems, databases, and other systems that store, process, or transmit cardholder data.		The intent of this requirement is that organizations keep up to date with new vulnerabilities that may impact their environment.  Sources for vulnerability information should be trustworthy and often include vendor websites, industry news groups, mailing list, or RSS feeds.  Once an organization identifies a vulnerability that could affect their environment, the risk that the vulnerability poses must be evaluated and ranked. The organization must therefore have a method in place to evaluate vulnerabilities on an ongoing basis and assign risk rankings to those vulnerabilities. This is not achieved by an ASV scan or internal vulnerability scan, rather this requires a process to actively monitor industry sources for vulnerability information.  Classifying the risks (for example, as “high,” “medium,” or “low”) allows organizations to identify, prioritize, and address the highest risk items more quickly and reduce the likelihood that vulnerabilities posing the greatest risk will be exploited.
	6.1.a		Examine policies and procedures to verify that processes are defined for the following:  • To identify new security vulnerabilities  • To assign a risk ranking to vulnerabilities that includes identification of all “high risk” and “critical” vulnerabilities.  • To use reputable outside sources for security vulnerability information.	
	6.1.b		Interview responsible personnel and observe processes to verify that:  • New security vulnerabilities are identified.  • A risk ranking is assigned to vulnerabilities that includes identification of all “high risk” and “critical” vulnerabilities.  • Processes to identify new security vulnerabilities include using reputable outside sources for security vulnerability information.	
	6.2	Ensure that all system components and software are protected from known vulnerabilities by installing applicable vendor-supplied security patches. Install critical security patches within one month of release.  Note:Critical security patches should be identified according to the risk ranking process defined in Requirement 6.1.		There is a constant stream of attacks using widely published exploits, often called "zero day" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. If the most recent patches are not implemented on critical systems as soon as possible, a malicious individual can use these exploits to attack or disable a system, or gain access to sensitive data.  Prioritizing patches for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released. Consider prioritizing patch installations such that security patches for critical or at-risk systems are installed within 30 days, and other lower-risk patches are installed within 2-3 months.  This requirement applies to applicable patches for all installed software, including payment applications (both those that are PA-DSS validated and those that are not).
	6.2.a		Examine policies and procedures related to security-patch installation to verify processes are defined for:  • Installation of applicable critical vendor-supplied security patches within one month of release.  • Installation of all applicable vendor-supplied security patches within an appropriate time frame (for example, within three months).	
	6.2.b		For a sample of system components and related software, compare the list of security patches installed on each system to the most recent vendor security-patch list, to verify the following:  • That applicable critical vendor-supplied security patches are installed within one month of release.  • All applicable vendor-supplied security patches are installed within an appropriate time frame (for example, within three months).	
	6.3	Develop internal and external software applications (including web-based administrative access to applications) securely, as follows:  • In accordance with PCI DSS (for example, secure authentication and logging)  • Based on industry standards and/or best practices.  • Incorporating information security throughout the software-development life cycle    Note: this applies to all software developed internally as well as bespoke or custom software developed by a third party.		Without the inclusion of security during the requirements definition, design, analysis, and testing phases of software development, security vulnerabilities can be inadvertently or maliciously introduced into the production environment.  Understanding how sensitive data is handled by the application—including when stored, transmitted, and when in memory—can help identify where data needs to be protected.
