Control	Selection	Parameters	Tailoring
SA-15 (9)	+ER	Justification to Select: EO 13526 directs the safeguarding of classified information while stored, processed, or when transmitted. When used in test environments, live data must be protected to preserve authorized restrictions on information access. The use of live data in test environments does not change its classification. Control Extension: Classified information can only be used in test and simulation environments that are at least at the same classification level as the live data. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f) and (g); EO 13587, Sec 5.2, para. (a).	
SC-2	+R	Justification to Select: EO 13526 requires that classified information be accessible only to those with the appropriate need-to-know. Application partitioning provides a means to reduce the opportunities individuals may have to gain access to information for which they do not have a need-to-know. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a).	
SC-3	+R	Justification to Select: EO 13526 requires that classified information be accessible only to those with the appropriate need-to-know. Security function isolation provides a means to reduce the opportunities cleared individuals may have to gain access to information for which they do not have a need-to-know. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a).	
SC-8	+VR	Justification to Select: EO 13526 directs the safeguarding of classified information while in transmission to ensure the integrity of the information and provide adequate protection from unauthorized access. Parameter Value: The information system protects the confidentiality and integrity of transmitted information. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a), (f), and (g); EO 13587, Sec 5.2, para. (a).	
SC-8 (1)	+R	Justification to Select: EO 13526 directs the safeguarding of classified information while it is in transmission to ensure the integrity of the information and provide adequate protection from unauthorized access. Classified information in transmission must be protected via cryptography as required by CNSSP No. 15. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a), (f), and (g); EO 13587, Sec 5.2, para. (a); CNSSP No. 15 Sec IV.4.	
SC-8 (3)	+R	Justification to Select: EO 13526 directs the safeguarding of classified information while it is in transmission to ensure the integrity of the information and provide adequate protection from unauthorized access. Classified information in transmission must be protected via cryptography as required by CNSSP No. 15. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a), (f), and (g); EO 13587, Sec 5.2, para. (a); CNSSP No. 15 Sec IV.4.	
SC-8 (4)	+R	Justification to Select: EO 13526 directs the safeguarding of classified information while it is in transmission to ensure the integrity of the information and provide adequate protection from unauthorized access. Classified information in transmission must be protected via cryptography as required by CNSSP No. 15. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a), (f), and (g); EO 13587, Sec 5.2, para. (a); CNSSP No. 15 Sec IV.4.	
SC-12 (2)	+VR	Justification to Select: CNSSP No. 15 requires the use of NSA-approved cryptography to protect NSS and the information that resides in the system. Parameter Value: The organization produces, controls, and distributes symmetric cryptographic keys using NSA-approved key management technology and processes. Regulatory/Statutory Reference(s): CNSSP No. 15 Sec IV.4; Sec 5.b.(3).	
SC-12 (3)	+GVR	Justification to Select: CNSSP No. 15 requires the use of NSA-approved cryptography to protect NSS and the information that resides in the system. Supplemental Guidance: CNSSP No. 25 requires that NSS operating at the Secret level obtain PKI support from the NSS-PKI. Parameter Value: The organization produces, controls, and distributes asymmetric cryptographic keys using NSA-approved key management technology and processes. Regulatory/Statutory Reference(s): CNSSP No. 15 Sec IV.4 and Sec 5.b.(3); CNSSP No. 25.	
SC-13	+VR	Justification to Select: EO 13526 directs the safeguarding of classified information while stored, processed, or when transmitted. This applies to the use of an NSA- approved solution to protect classified information transmitted when the network transmitting the information is at a lower classification level. Parameter Value: The information system implements NSA-approved cryptography for protecting classified information from access by personnel who lack the necessary security clearance in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards. Regulatory/Statutory Reference(s): EO 13526, Sec. 4.1, para. (f) and (g); CNSSP No. 15 Sec IV.4.	
SC-15 (3)	+GR	Justification to Select: EO 13526 directs the safeguarding of classified information while in use and when transmitted to provide adequate protection and prevent access by unauthorized persons. Use of collaborative computing devices in unauthorized locations represents an unacceptable risk of disclosure of classified information to unauthorized persons. Supplemental Guidance: Collaborative devices have an aspect of trust associated with their use (e.g., it is hard to verify how many people are listening through one connection). In secure works areas, it is necessary to disable collaborative devices to prevent unauthorized access to classified information (e.g., through eavesdropping) and to verify that personnel in the room have the necessary authorizations to access classified information. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a) and (f).	
SC-28	+GVR	Justification to Select: EO 13526 directs the safeguarding of classified information while stored to prevent access by unauthorized persons and to ensure the integrity of the information. Cryptography provides protections for the confidentiality and integrity of information in storage. Supplemental Guidance: The organization, in accordance with law, Executive Orders, and policy, determines the protection needs for the confidentiality of the information, including who has access to the information and the appropriate means for its protection. Parameter Value: The information system protects the confidentiality and integrity of classified information at rest. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f); EO 13587, Sec 5.2, para. (a).	
SC-28 (1)	+R	Justification to Select: See justification for SC-28. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f) and (g); EO 13587, Sec 5.2, para. (a).	
SC-42	+GR	Justification to Select: EO 13587 requires the establishment of an insider threat program for deterring, detecting, and mitigating insider threats, including the safeguarding of classified information from exploitation, compromise, or other unauthorized disclosure. Prohibiting the remote activation of devices with sensor capabilities in all areas where classified information is stored, processed, transmitted or discussed is considered a best practice for safeguarding classified information. Supplemental Guidance: The organization may define exceptions to allow remote activation of sensor capabilities such as secure VTC, provided that the sensor capabilities are designed, configured, and operated securely. Organizations may designate some areas acceptable for temporary storage, processing, transmission, or discussion of classified information; however, during the periods when classified information is not being stored, processed, transmitted or discussed, the organization may allow remote activation of devices with sensor capabilities in those areas. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f) and (g); EO 13587, Sec 5.2, para. (a).	
SC-42 (3)	+GVR	Justification to Select: EO 13587 requires the establishment of an insider threat program for deterring, detecting, and mitigating insider threats, including the safeguarding of classified information from exploitation, compromise, or other unauthorized disclosure. Prohibiting the use of devices with sensor capabilities in all areas where classified information is stored, processed, transmitted or discussed is considered a best practice for safeguarding classified information. Supplemental Guidance: The organization may define exceptions to allow sensor capabilities such as secure VTC, provided that the sensor capabilities are designed, configured, and operated securely. Organizations may designate some areas acceptable for temporary storage, processing, transmission, or discussion of classified information; however, during the periods when classified information is not being stored, processed, transmitted or discussed, the organization may allow the use of devices with sensor capabilities in those areas. Parameter Values: The organization prohibits the use of devices possessing sensors capable of recording audio or imagery (still or video) or transmitting information (i.e., cell phones, two way radios) in all areas where classified information is stored, processed, transmitted or discussed, except for [organization-defined areas or devices]. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f) and (g); EO 13587, Sec 5.2, para. (a).	
SI-4 (14)	+R	Justification to Select: EO 13587 requires the establishment of an insider threat program for deterring, detecting, and mitigating insider threats, including the safeguarding of classified information from exploitation, compromise, or other unauthorized disclosure. Monitoring wireless networks for unauthorized use is necessary to protect classified information as it identifies unsanctioned connections and potential information leaks. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f) and (g); CNSSP No. 17 Sec 5.b.iv; EO 13587, Sec 5.2, para. (a).	
SI-4 (19)	+R	Justification to Select: EO 13526 requires organizations to establish procedures and controls to prevent access by unauthorized persons to classified information. Monitoring people that may pose greater risk or are in a probationary period is pertinent to verifying that these people continue to be qualified to access classified information. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a) and (b).	
SI-4 (21)	+R	Justification to Select: EO 13526 requires organizations to establish procedures and controls to prevent access by unauthorized persons to classified information. Monitoring people that may pose greater risk or are in a probationary period is pertinent to verifying that these people continue to be qualified to access classified information. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a) and (b).	
