Section	Control	Level 4	Level 5	Level 6	Requirement	Parameters
5.10.2.3	DoD-SRG-5.10.2.3-2	X	X		Mission Owner Management Plane: Management connectivity from inside the NIPRNet requires an encrypted, tunneled connection through the NIPRNet and an ICAP or BCAP to manage the mission system/application and virtual network. Management traffic to CSP service ordering / service management portals must be encrypted if not in an encrypted VPN. Monitoring traffic must be natively encrypted or must traverse a VPN connection. All traffic must enter/leave the NIPRNet via a BCAP  Management connectivity by DoD personnel or DoD contractors from outside the NIPRNet requires an encrypted, tunneled connection from the Internet via an IAP and an ICAP or BCAP to the mission system/application and virtual network. Management traffic to CSP service ordering / service management portals must be encrypted if outside an encrypted VPN. Monitoring traffic must be natively encrypted or must traverse a VPN connection via a BCAP and NIPRNet. CSP Service Offering Management Plane: DoD CSP on-premises service offering infrastructure and management: CSP management connectivity will utilize existing infrastructure such as the Enterprise Services Directorate (ESD) Out of Band (OOB) management network. No service provider security stack is required.  Non-DoD CSP on-premises service offering infrastructure and management: The CSP may directly connect their management infrastructure to their service offering infrastructure if collocated. An encrypted, tunneled connection from the CSP’s on-premises management infrastructure to the service provider’s on-premises service offering infrastructure is also permitted and will be used to access remote service offering infrastructure.  Non-DoD CSP on-premises service offering infrastructure and off-premises management: CSP management connectivity must leverage an encrypted, tunneled connection from the CSP’s off-premises management infrastructure to the service provider’s on-premises service offering infrastructure.  Non-DoD CSP off-premises service offering infrastructure and off-premises management: CSP management connectivity leverages CSP service offering and management plane infrastructure which should be separate.	
5.10.2.3	DoD-SRG-5.10.2.3-3			X	Mission Owner Management Plane: All management and monitoring connectivity is via the SIPRNet. Management and monitoring traffic will be encrypted using FIPS 140-2 validated cryptography to accommodate separation for Need-to-know reasons. CSP Service Offering Management Plane: DoD CSP on-premises service offering infrastructure and management: CSP management connectivity will utilize existing SECRET network infrastructure such as the SECRET Out of Band (OOB) management network. No service provider security stack is required.  Non-DoD CSP on-premises service offering infrastructure and management: The CSP may directly connect their management infrastructure to their service offering infrastructure if personnel are collocated using their SECRET LAN. An encrypted, tunneled connection using FIPS 140-2 validated cryptography over SIPRNet from the CSP’s on-premises management infrastructure to the service provider’s on-premises service offering infrastructure is also permitted and will be used to access remote service offering infrastructure.  Non-DoD CSP on-premises service offering infrastructure and off-premises management: CSP management connectivity must leverage a SIPRNet extension or a DoD approved encrypted, tunneled connection from the CSP’s dedicated SECRET off-premises management infrastructure to the service provider’s on-premises service offering infrastructure.  Non-DoD CSP off-premises service offering infrastructure and off-premises management: CSP management connectivity leverages CSP’s dedicated SECRET service offering and management plane infrastructure which should be separate.	
5.10.3.1	DoD-SRG-5.10.3.1-1	X	X	X	Application Layer Firewall (properly configured) and IDPS protection of the CSP’s infrastructure supporting the SaaS application offering, as well as segmentation from the CSP’s other offerings and corporate networks.	
5.10.3.1	DoD-SRG-5.10.3.1-2	X	X	X	Application / network architecture which provides unrestricted/restricted DMZ zones with appropriate protections IAW the DoD DMZ STIG for internet/externally facing servers and private / “back end” zones with appropriate protections for application/database servers and other supporting systems/servers.	
5.10.3.1	DoD-SRG-5.10.3.1-3	X	X	X	Customer data-at-rest encryption protections using FIPS 140-2 validated cryptographic modules operated in FIPS mode.	
5.10.3.1	DoD-SRG-5.10.3.1-4	X	X	X	Customer data-in transit encryption protections using FIPS 140-2 validated cryptographic modules operated in FIPS mode.	
5.10.3.1	DoD-SRG-5.10.3.1-5	X	X	X	Hardening / patching / maintenance of OSs and applications. DoD SRGs and STIGS may be used, and must be used if the service is private DoD or a Federal Government Community used by DoD.	
5.10.3.1	DoD-SRG-5.10.3.1-6	X	X	X	Implement PIV/DoD CAC / PKI authentication for all customer user access on all SaaS offerings that process information at impact Levels 4 and 5 in accordance with IA-2 (12). This includes regular non-privileged users accessing the service and privileged customer users accessing service ordering / management interfaces/portals. SaaS offerings that process information at impact Level 6 must use the CNSS SIPRNet Token.	
5.10.4	DoD-SRG-5.10.4-1	X	X	X	DoD policy and the Domain Name Service (DNS) STIG require all DoD ISs to use the DoD authoritative DNS servers, not public or commercial DNS servers. Additionally it requires all DoD IS to be addressed in the .mil domain. Mission Owners are not authorized to utilize DNS services offered by the CSP or any other non-DoD DNS provider.	
5.10.4	DoD-SRG-5.10.4-2	X	X		DoD IS implemented at levels 4 and 5 instantiated in commercial CSP facilities will be treated and designed as an extension of the NIPRNet, and will be addressed using DoD assigned and managed IP addresses. These systems will use the DoD authoritative DNS servers on the NIPRNet IAW policy as would any other DoD IS. NIPRNet addresses are assigned by the DoD NIC.	
5.10.4	DoD-SRG-5.10.4-3			X	DoD IS implemented at level 6 instantiated in commercial CSP facilities will be treated and designed as an extension of the SIPRNet and will be addressed using SIPRNet IP addresses. These systems will use the DoD authoritative DNS servers on the SIPRNet IAW policy as would any other SIPRNet connected IS. SIPRNet addresses are assigned by the DoD NIC.	
6.3	DoD-SRG-6.3-1	X	X	X	Providing local operational direction and support for CND within their infrastructure and service offerings.	
6.3	DoD-SRG-6.3-2	X	X	X	Fully maintaining, patching, monitoring, and protecting the infrastructure, operating systems, and applications supporting all service offerings.	
6.3	DoD-SRG-6.3-3	X	X	X	Fully maintaining, patching, monitoring, and protecting SaaS service offering OSs and applications including DoD data/information in them.	
6.3	DoD-SRG-6.3-4	X	X	X	And as contracted: Coordinating with the MCND regarding incident response and the mitigation of threats to DoD cloud based mission systems/applications and data.	
6.3	DoD-SRG-6.3-5	X	X	X	And as contracted: Providing timely incident and system health reports.	
6.3	DoD-SRG-6.3-6	X	X	X	And as contracted: Maintaining bidirectional Cyber Situational Awareness.	
6.4	DoD-SRG-6.4-1		X	X	For CSPs providing dedicated infrastructure to the DoD (Impact Levels 4 and above), incidents regarding that infrastructure and CSOs will not be reported to US-CERT, but directly to the DoD. The DoD Tier 1 (USCYBERCOM/JFHQ DoDIN) will handle coordination with US-CERT and other entities as appropriate. All CSPs actively supporting DoD missions will be supported by a MCND. The MCND will be the DoD point of contact to whom the CSP’s Operational entity will report and coordinate response to incidents affecting the security posture of the CSP and the CSP’s cloud service offerings. The MCND will coordinate with the higher tiered BCND as appropriate.	
6.4.1	DoD-SRG-6.4.1-1	X	X	X	CSPs will provide, either as part of their Incident Response Plan or through an Incident Response Plan Addendum, their approach to fulfilling integration requirements. CSPs will make their plan or addendum available to DISA for review and approval as a condition of its PA and inclusion in the DoD Cloud Service Catalog.	
6.4.1	DoD-SRG-6.4.1-2	X	X	X	CSPs will update and deliver the Incident Response Plan Addendum (if used) in conjunction with updates and deliveries of their Incident Response Plan, as required by the FedRAMP selected security control IR-1.	
6.4.1	DoD-SRG-6.4.1-3	X	X	X	A CSP must specifically address data breaches, where a “breach” includes the loss of control, compromise, unauthorized acquisition, unauthorized access, or any similar term referring to situations where any unauthorized person has access or potential access to government data, whether in electronic or non-electronic form, for any unauthorized purpose.	
6.4.1	DoD-SRG-6.4.1-4	X	X	X	CSPs must ensure that the plan or addendum addresses all breaches regardless of the time, day, or location of the breach and must provide for notice to the Government of any breach of its data. The plan or addendum must incorporate any other policies or procedures that the Government may require to be followed in the event of a breach, including, but not limited to: • How and to whom within the Government, the breach will be reported; • Specific steps to be taken in order to mitigate or remedy the breach, including time periods for taking such steps (e.g., reporting of Personally Identifiable Information (PII) data breaches within one hour, Negligent Disclosure of Classified Information (NDCIs) which are commonly referred to as spillages); • How and under what circumstances any individuals or entities affected by a breach will be notified and by whom; and • Any other special instructions for handling computer security incidents affecting, or potentially affecting U.S. Government data; consistent with guidance and policy directives issued by DoD, NIST, US-CERT and CNSS for incident management, classification, and remediation; or other applicable law, regulation, order, or policy.	
6.4.2	DoD-SRG-6.4.2-1	X	X	X	In the course of a CSP performing CND for its environments, CSPs will monitor their information systems and report relevant information to the MCND, focused on situations where any unauthorized person has access or potential access to government data.	
6.4.2	DoD-SRG-6.4.2-2	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Contract information to include contract number, USG Contracting Officer(s) contact information, contract clearance level, etc.	
6.4.2	DoD-SRG-6.4.2-3	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Contact information for the impacted and reporting organizations as well as the MCND.	
6.4.2	DoD-SRG-6.4.2-4	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Details describing any vulnerabilities involved (i.e., Common Vulnerabilities and Exposures (CVE) identifiers)	
6.4.2	DoD-SRG-6.4.2-5	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Date/Time of occurrence, including time zone	
6.4.2	DoD-SRG-6.4.2-6	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Date/Time of detection and identification, including time zone	
6.4.2	DoD-SRG-6.4.2-7	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Related indicators (e.g. hostnames, domain names, network traffic characteristics, registry keys, X.509 certificates, MD5 file signatures)	
6.4.2	DoD-SRG-6.4.2-8	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Threat vectors, if known (see Threat Vector Taxonomy and Cause Analysis flowchart within the US-CERT Federal Incident Notification Guidelines)	
6.4.2	DoD-SRG-6.4.2-9	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Prioritization factors (i.e. functional impact, information impact, and recoverability as defined flowchart within the US-CERT Federal Incident Notification Guidelines) (https://www.us-cert.gov/sites/default/files/publications/Federal_Incident_Notification_Guidelines.pdf)	
6.4.2	DoD-SRG-6.4.2-10	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Source and Destination Internet Protocol (IP) address, port, and protocol	
6.4.2	DoD-SRG-6.4.2-11	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Operating System(s) affected	
6.4.2	DoD-SRG-6.4.2-12	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Mitigating factors (e.g. full disk encryption or two-factor authentication)	
6.4.2	DoD-SRG-6.4.2-13	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Mitigation actions taken, if applicable	
6.4.2	DoD-SRG-6.4.2-14	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: System Function(s) (e.g. web server, domain controller, or workstation)	
6.4.2	DoD-SRG-6.4.2-15	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Physical system location(s) (e.g. Washington DC, Los Angeles, CA)	
6.4.2	DoD-SRG-6.4.2-16	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Sources, methods, or tools used to identify the incident (e.g. Intrusion Detection System or audit log analysis)	
6.4.2	DoD-SRG-6.4.2-17	X	X	X	Incident notifications should include a description of the incident and as much of the following information as possible: Any additional information relevant to the incident and not included above.	
6.4.3	DoD-SRG-6.4.3-1	X	X	X	Commercial CSPs will report all incidents via the on-line Defense Industrial Base (DIB) Cyber Incident Collection Form (ICF)27. Use of the on-line form is preferred. Access to this form requires a DoD-approved medium assurance External Certificate Authority (ECA) certificate. If you are unable to access this form, please call (877) 838-2174 or email: DCISE@DC3.mil. The CSP must include, for routing purposes, all MCND points of contact (POCs) for all DoD missions affected by the incident. This is in addition to any other POCs required by the tool for routing to contract managers, etc. The MCND, once the report is received, will initiate the DoD reporting process via JIMS. Note: The Incident Collection Form (ICF) requires modification in order to be fully aligned with the above reporting requirements. In the interim the current form will be used. CSPs should complete the fields as appropriate. When classified incident reporting is appropriate and directed, CSPs will use SIPRNet email or secure phone/fax to report and coordinate incidents as specified. This will always be the case for Level 6 reporting. Existing notification mechanisms of a CSP that are already in place to communicate between the CSP and its customers for some or all classes of CND information may be used, as long as those mechanisms demonstrate a level of assurance, equivalent to the listed encrypted mechanisms, for the confidentiality and integrity of the information.	
6.5	DoD-SRG-6.5-1	X	X	X	CSPs must be able to receive, act upon, and report compliance with directives and notifications sent by CND Tier 2 (MCND or BCND), as required by FedRAMP selected security control SI-5.	
6.7	DoD-SRG-6.7-1	X	X	X	CSPs must notify all affected MCND providers of ASIs under their control when an outage starts and upon return to service. Outages or changes that affect more than one mission environment must be reported by the MCND to the BCND to enable broader situational awareness across all MCND providers. Mission owners and administrators are responsible for the same notifications to the MCND when the ASI is under their control.	
6.8	DoD-SRG-6.8-1	X	X		CSPs must preferably have either a DoD PKI certificate or a DoD-approved External Certification Authority (ECA) medium-assurance PKI Certificate28 for each person that needs to communicate with DoD via encrypted email. The DoD has established the ECA program to support the issuance of DoD-approved certificates to industry partners and other external entities and organizations; providing a mechanism to securely communicate with the DoD and authenticate to DoD Information Systems. Additional information on the ECA program can be found at http://iase.disa.mil/pki/eca/Pages/index.aspx. Equivalent alternative measures will be assessed on a case by case basis.	
6.8	DoD-SRG-6.8-2			X	CSPs serving Level 6 systems will already have SIPRNet tokens / NSS PKI certificates for their system administrators by virtue of the connection to SIPRNet. Incident response and CND personnel will use SIPRNet tokens/certificates to communicate with DoD via encrypted email.	
	AC-1					AC-1 a. all personnel b. Annually Source: DoD RMF TAG ------------------- AC-1.b.1 [at least every 3 years] AC-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	AC-2					AC-2 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings e. ISSM or ISSO f. Not appropriate for DoD to define for all CSP's infrastructure or service offerings j. at a minimum, annually Source: DoD RMF TAG ------------------- AC-2j [at least annually] Source: FedRAMP v2 -------------------
	AC-2 (2)					AC-2 (2) For temporary user accounts: 72 hours For emergency admin accounts: never (see supplemental recommendation) Source: DoD RMF TAG ------------------- [No more than 30 days for temporary and emergency account types] Source: FedRAMP v2 -------------------
	AC-2 (3)					AC-2 (3) 35 days Source: DoD RMF TAG ------------------- [90 days for user accounts] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the Authorizing Official.
	AC-2 (4)					AC-2 (4) System administrator and ISSO Source: DoD RMF TAG -------------------
	AC-2 (5)					AC-2 (5) At the end of the users standard work period unless otherwise defined in formal organizational policy. Source: DoD RMF TAG -------------------
	AC-2 (7)					AC-2 (7) c. Disables (or revokes) privileged user account Source: DoD RMF TAG -------------------
	AC-2 (9)					AC-2 (9) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: Required if shared/group accounts are deployed
	AC-2 (12)					AC-2 (12) a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings b. at a minimum, the ISSO Source: DoD RMF TAG ------------------- FedRAMP Additional Requirements and Guidance: AC-2 (12)(a) and AC-2 (12)(b) Additional FedRAMP Requirements and Guidance: Required for privileged accounts.
	AC-2 (13)					AC-2 (13) 30 minutes unless otherwise defined in formal organizational policy Source: DoD RMF TAG -------------------
	AC-3 (4)					AC-3 (4) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-4					AC-4 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-4 (21)					AC-4 (21) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-5					AC-5 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-6 (1)					AC-6 (1) all functions not publicly accessible and all security-relevant information not publicly available Source: DoD RMF TAG -------------------
	AC-6 (2)					AC-6 (2) any privileged security functions or security-relevant information Source: DoD RMF TAG ------------------- [all security functions] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: AC-6 (2). Guidance: Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.
	AC-6 (5)					AC-6 (5) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-6 (7)					AC-6 (7) a. at a minimum, annually a. all users Source: DoD RMF TAG -------------------
	AC-6 (8)					AC-6 (8) any software except software explicitly documented Source: DoD RMF TAG -------------------
	AC-7					AC-7 a(1). Three a(2). 15 minutes b(1). locks the account/node b(2). Until released by an administrator b(3). Minimum of 5 seconds Source: DoD RMF TAG ------------------- AC-7a [not more than three] [fifteen minutes] AC-7b [locks the account/node for thirty minutes] Source: FedRAMP v2 -------------------
	AC-8					AC-8 a. The content of DTM 08-060, "Policy on Use of Department of Defense (DoD) Information Systems – Standard Consent Banner and User Agreement," March 2013 c. The content of DTM 08-060, "Policy on Use of Department of Defense (DoD) Information Systems – Standard Consent Banner and User Agreement," March 2013 Source: DoD RMF TAG ------------------- Parameter: See Additional Requirements and Guidance. Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the Authorizing Official (AO). Requirement: The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the AO. Guidance: If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided. Requirement: If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the AO.
	AC-10					AC-10 all account types and/or accounts Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- [three (3) sessions for privileged access and two (2) sessions for non-privileged access] Source: FedRAMP v2 -------------------
	AC-11					AC-11 a. 15 minutes Source: DoD RMF TAG ------------------- AC-11a. [fifteen minutes] Source: FedRAMP v2 -------------------
	AC-12					AC-12 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-12 (1)					AC-12 (1) a. all Source: DoD RMF TAG -------------------
	AC-14					AC-14 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-16					AC-16 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings c. security attributes defined in AC-16, CCIs 2256-2258 c. all information systems d. the values defined in AC-16, CCIs 2259-2261 Source: DoD RMF TAG -------------------
	AC-16 (6)					AC-16 (6) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-17 (3)					AC-17 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-17 (4)					AC-17 (4) a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-17 (9)					AC-17 (9) immediately Source: DoD RMF TAG ------------------- [no greater than 15 minutes] Source: FedRAMP v2 -------------------
	AC-19 (5)					AC-17 (9) immediately Source: DoD RMF TAG ------------------- [no greater than 15 minutes] Source: FedRAMP v2 -------------------
	AC-21					AC-21 a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AC-22					AC-22 d. Every 90 days or as new information is posted Source: DoD RMF TAG ------------------- AC-22d. [at least quarterly] Source: FedRAMP v2 -------------------
	AC-23					AC-23 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AT-1					AT-1 a. all personnel b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- AT-1.b.1 [at least every 3 years] AT-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	AT-2					AT-2 c. annually Source: DoD RMF TAG ------------------- AT-2. [Assignment: organization-defined frequency] Parameter: [at least annually] Source: FedRAMP v2 -------------------
	AT-3					AT-3 c. annually Source: DoD RMF TAG ------------------- AT-3c. [Assignment: organization-defined frequency] Parameter: [at least annually] Source: FedRAMP v2 -------------------
	AT-3 (2)					AT-3 (2) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Annual Source: DoD RMF TAG -------------------
	AT-3 (4)					AT-3 (4) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AT-4					AT-4 b. at least 5 years or 5 years after completion of a specific training program Source: DoD RMF TAG ------------------- AT-4b. [Assignment: organization-defined frequency] Parameter: [At least one years] Source: FedRAMP v2 -------------------
	AU-1					AU-1 a. the ISSO and ISSM and others as the local organization deems appropriate b. 1. Annually b. 2. Annually Source: DoD RMF TAG ------------------- AU-1.b.1 [at least every 3 years] AU-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	AU-2					AU-2 a. Successful and unsuccessful attempts to access, modify, or delete privileges, security objects, security levels, or categories of information (e.g. classification levels). Successful and unsuccessful logon attempts, Privileged activities or other system level access, Starting and ending time for user access to the system, Concurrent logons from different workstations, Successful and unsuccessful accesses to objects, All program initiations, All direct access to the information system. All account creations, modifications, disabling, and terminations. All kernel module load, unload, and restart. d. Not appropriate for DoD to define for all CSP's infrastructure or service offerings d. all auditable events defined in AU-2 (a) per occurrence. Source: DoD RMF TAG ------------------- AU-2a. [Successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes]; AU-2d. [organization-defined subset of the auditable events defined in AU-2 a. to be audited continually for each identified event]. Source: FedRAMP v2 -------------------
	AU-2 (3)					AU-2 (3) Annually and based on situational awareness of threats, vulnerabilities Source: DoD RMF TAG ------------------- AU-2 (3). [Assignment: organization-defined frequency] Parameter: [annually or whenever there is a change in the threat environment] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Guidance: Annually or whenever changes in the threat environment are communicated to the service provider by the Authorizing Official.
	AU-3 (1)					AU-3 (1) At a minimum, full-text recording of privileged commands or the individual identities of group account users. Source: DoD RMF TAG ------------------- AU-3 (1). [Assignment: organization-defined additional, more detailed information] Parameter: [session, connection, transaction, or activity duration; for client-server transactions, the number of bytes received and bytes sent; additional informational messages to diagnose or identify the event; characteristics that describe or identify the object or resource being acted upon] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: AU-3 (1). Requirement: The service provider defines audit record types. The audit record types are approved and accepted by the Authorizing Official. Guidance: For client-server transactions, the number of bytes sent and received gives bidirectional transfer information that can be helpful during an investigation or inquiry.
	AU-4					AU-4 Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AU-4 (1)					AU-4 (1) At a minimum, real-time for interconnected systems and weekly for stand-alone systems Source: DoD RMF TAG -------------------
	AU-5					AU-5 a. At a minimum, the SCA and ISSO b. Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- AU-5b. [Assignment: Organization-defined actions to be taken] Parameter: [low-impact: overwrite oldest audit records; moderate-impact: shut down] Source: FedRAMP v2 -------------------
	AU-6					AU-6 a. every seven days or more frequently if required by an alarm event or anomaly; a. Not appropriate for DoD to define for all CSP's infrastructure or service offerings; b. at a minimum, the ISSO and ISSM Source: DoD RMF TAG ------------------- AU-6a. [Assignment: organization-defined frequency] Parameter: [at least weekly] Source: FedRAMP v2 -------------------
	AU-7 (1)					AU-7 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AU-8					AU-8 b. one second Source: DoD RMF TAG -------------------
	AU-8 (1)					AU-8 (1) a. Every 24 hours for networked systems; a. an authoritative time server which is synchronized with redundant United States Naval Observatory (USNO) time servers as designated for the appropriate DoD network (NIPRNet / SIPRNet) and/or the Global Positioning System (GPS); b. Greater than the organizationally defined granularity in AU-8 Source: DoD RMF TAG ------------------- AU-8 (1). [http://tf.nist.gov/tf-cgi/servers.cgi] <At least hourly> Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: AU-8 (1). Requirement: The service provider selects primary and secondary time servers used by the NIST Internet time service. The secondary server is selected from a different geographic region than the primary server. Requirement: The service provider synchronizes the system clocks of network computers that run operating systems other than Windows to the Windows Server Domain Controller emulator or to the same time source for that server. Guidance: Synchronization of system clocks improves the accuracy of log analysis.
	AU-9 (2)					AU-9 (2) every seven days Source: DoD RMF TAG ------------------- AU-9 (2). [at least weekly] Source: FedRAMP v2 -------------------
	AU-9 (4)					AU-9 (4) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	AU-10					AU-10 actions defined by DoDI 8520.02 and DoDI 8520.03 Source: DoD RMF TAG -------------------
	AU-11					AU-11 5 years for SAMI; otherwise for at least 1 year Source: DoD RMF TAG ------------------- AU-11. [at least ninety days] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: AU-11. Requirement: The service provider retains audit records on-line for at least ninety days and further preserves audit records off-line for a period that is in accordance with NARA requirements.
	AU-12					AU-12 a. all information system and network components; b. ISSM or individuals appointed by the ISSM Source: DoD RMF TAG ------------------- AU-12a. [all information system and network components where audit capability is deployed/available] Source: FedRAMP v2 -------------------
	AU-12 (1)					AU-12 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings; The time tracking tolerance defined in AU-8 Source: DoD RMF TAG -------------------
	AU-12 (3)					AU-12 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings; Not appropriate for DoD to define for all CSP's infrastructure or service offerings; Not appropriate for DoD to define for all CSP's infrastructure or service offerings; Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	CA-1					CA-1 a. all personnel b. (1) every 5 years b. (2) annually Source: DoD RMF TAG ------------------- CA-1.b.1 [at least every 3 years] CA-1.b.2 [at least annually] Source: FedRAMP v2 -------------------
	CA-2					CA-2 b. Annually for technical controls Annually for a portion of management and operational controls such that all are reviewed in a 3 year period except for those requiring more frequent review as defined in other site or overarching policy. NOTE: Technical, Management and Operational is IAW NIST SP 800-53 Table 1-1. d. at a minimum, the ISSO and ISSM Source: DoD RMF TAG ------------------- CA-2b. [at least annually] CA-2d[individuals or roles to include FedRAMP PMO] Source: FedRAMP v2 -------------------
	CA-2 (1)					CA-2 (1) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- Added to NIST Baseline for "Low" FedRAMP baseline. Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: For JAB Authorization, must be an accredited 3PAO
	CA-2 (2)					CA-2 (2) annually Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- [at least annually] Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: Requirement: To include 'announced', 'vulnerability scanning'
	CA-2 (3)					CA-2 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- [Any FedRAMP Accredited 3PAO] [the conditions of a PA in the FedRAMP Repository] Source: FedRAMP v2 -------------------
	CA-3					CA-3 c. at least annually Source: DoD RMF TAG ------------------- CA-3c. 3 Years / Annually and on input from FedRAMP Source: FedRAMP v2 -------------------
	CA-3 (1)					CA-3 (1) all unclassified NSS Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG -------------------
	CA-3 (3)					CA-3 (3) Not appropriate for DoD to define for all CSP's infrastructure or service offerings Not appropriate for DoD to define for all CSP's infrastructure or service offerings Source: DoD RMF TAG ------------------- Boundary Protections which meet the Trusted Internet Connection (TIC) requirements Source: FedRAMP v2 ------------------- FedRAMP Additional Requirements and Guidance: CA-3(3) Guidance: Refer to Appendix H – Cloud Considerations of the TIC 2.0 Reference Architecture document.
