Control	Low	Moderate	High	PHI	Parameters
AT-2	+ER	+ER	+ER	+GR	Justification to Select: Security awareness and training complements privacy awareness and training efforts, particularly where the two disciplines overlap in the areas of use, confidentiality, access, and integrity. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Provide privacy training for all systems with PII, commensurate with the PII confidentiality impact level. Integrate privacy training with general Information Assurance (IA) training. Related Controls: AR-5, AR-6. PHI Supplemental Guidance: The following elements of security training are addressable under HIPAA. The decision to implement the following is dependent on a risk analysis to determine if or to what extent these elements should be included in Security Awareness Training: (i) periodic security updates; (ii) procedures for guarding against, detecting, and reporting malicious software; (iii) procedures for monitoring log-in attempts and reporting discrepancies; and (iv) procedures for creating, changing, and safeguarding passwords. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); Pub. L. No. 107-347, §208; OMB M-03-22; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(5)(i)-(ii)
AT-3	+ER	+ER	+ER	+R	Justification to Select: Role-based training further supports protection of PII by focusing training content on requirements that are specific to an individual's job responsibilities. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Provide role-based privacy training for all systems with PII, commensurate with the PII confidentiality impact level. Related Controls: AR-5, AR-6. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); Pub. L. No. 107-347, §208; OMB M-03-22; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(5)(i); 45 C.F.R. §164.530(b)(2)(i)
AT-4	+GR	+GR	+GR	+R	Justification to Select: Maintaining security training records provides the capability for organizations to track compliance with privacy-related training requirements. Under HIPAA, a covered entity must document that the training as described within the regulation has been provided as required. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-5, AR-6. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); Pub. L. No. 107-347, §208; OMB M-03-22; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(5)(i); 45 C.F.R. §164.530(b)(2)(ii)
AU-1	+GVR	+GVR	+GVR	+R	Justification to Select: Security audit and accountability policies and procedures directly support privacy audit and accountability procedures. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AU-2, AR-4. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: b.1. … in accordance with organizational policy but not less than annually… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-07-16; OMB Circular A-130, 7.g. and 8.b(2)(c) PHI Regulatory/Statutory References: 45 C.F.R. §164.312(b); 45 C.F.R. §164.308(a)(1)(ii)(D)
AU-2	+GVR	+GVR	+GVR	+GR	Justification to Select: This control identifies privacy-relevant security auditable events using a risk-based approach. Examples of privacy-relevant auditable events include logging access to or modification of PII. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The parameter values for this control do not provide an exhaustive list of all auditable events, but instead list the auditable events required by OMB privacy policy. The organization should manage the length of time that a log file is maintained to the period necessary to comply with the organization's security and privacy policies. Related Control: AR-4. PHI Supplemental Guidance: The HIPAA Security Rule requires the auditing of activity in information systems that contain PHI but does not identify the specific audit events. Follow PII Supplemental Guidance. Related Control: AR-4. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: a. … monitor system access, including unsuccessful and successful login attempts, to information systems containing PII… … successful and unsuccessful attempts to create, read, write, modify, and/or delete extracts containing PII from a database or data repository… … privileged activities or system level access to PII… … concurrent logons from different workstations… … all program, e.g., executable file, initiations… d. … monitor system access, including unsuccessful and successful login attempts, to information systems containing PII… … successful and unsuccessful attempts to create, read, write, modify, and/or delete extracts containing PII from a database or data repository… … privileged activities or system level access to PII… … concurrent logons from different workstations… … all program, e.g., executable file, initiations… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16; OMB Circular A-130, 7.g., 8.b(2)(c)(iii) and Appendix I. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.312(b); 45 C.F.R. §164.308(a)(5)(ii)(C)
AU-3	+GR	+GR	+GR	+R	Justification to Select: Audit records that are commensurate with the privacy risk they address are an effective tool for identifying whether, when, and how issues have occurred related to data quality and privacy breaches. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-4. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16, Att. 1; OMB Circular A-130, 7.g. and 8.b(2)(c)(iii) PHI Regulatory/Statutory References: 45 C.F.R. §164.312(b); 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C)
AU-4		+GR	+GR	+R	Justification to Select: Adequate storage capacity for logs used to audit privacy-related controls reduces the likelihood of the logs exceeding available storage space and potentially losing log information or reducing auditing capability. Audit information could be necessary to enforce criminal or civil penalties under the Privacy Act, and providing adequate storage capacity allows for preserving complete audit information for these purposes. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-4, AU-5(1), AU-9, AU-9(2), AU-11. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(i); OMB M-07-16; OMB Circular A-130, 7.g. and Appendix II PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(b); 45 C.F.R. §164.308(a)(1)(ii)(D)
AU-4 (1)		GR	GR	R	Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: For audit logs containing PII, regardless of location stored (including portable media or storage devices), implement safeguards commensurate with privacy risk. Transferring audit logs containing PII creates the potential for an increased risk of loss, theft or compromise of the PII. When audit information contains PII or PHI, it must be protected commensurate with its confidentiality impact level with regard to PII, or in accordance with a risk analysis with regard to PHI. Audit information could be necessary to enforce criminal or civil penalties under the Privacy Act. Maintaining the integrity of audit records by applying this control enhancement facilitates this purpose. Related Controls: AR-4, AU-9, and AU-9(2). Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(i), OMB M-07-16, OMB Circular A-130, 7.g. and Appendix II PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(b)
AU-6		+GR	+GR	+R	Justification to Select: Periodic reviews and analysis of privacy logs are important for identifying indications of inappropriate or unusual activity that may signify a privacy incident or breach. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-4. Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(g)(1)(D), OMB M-7-16. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(b)
AU-6 (3)		+R	+R		Justification to Select: Correlating and analyzing privacy audit logs across different log repositories and systems provides greater awareness of privacy incidents and breaches across the organization. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(g)(1)(D), OMB M-7-16.
AU-6 (10)		+GR	+GR		Justification to Select: When there is a potential breach of PII, audit levels may need to be adjusted to determine scope and/or magnitude of breach. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Change of risk includes situations involving a potential breach of PII. Related Control: AR-4. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16
AU-7	+R	+R	+R	+R	Justification to Select: To meet the deadlines associated with reporting breaches of PII, it is necessary to have the ability to summarize audit information and generate customized audit reports. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 2 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.312(b)
AU-7 (1)		+R	+R	+R	Justification to Select: To conduct efficient and effective remediation of breaches of PII, it may be necessary to tailor the audit fields provided in audit reports. For example, it may be necessary to include the identities of individuals and the system resources involved to determine scope of access to an information system containing PII. Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 2 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.312(b)
AU-7 (2)		+R	+R	+R	Justification to Select: To conduct efficient and effective remediation of breaches of PII, it may be necessary to tailor the organization of the audit report or to provide search functionality with audit reports that are generated. For example, if the PII breach involves only one or two users it may be most efficient to sort the audit report by user ID or to provide the ability to search on user ID within the audit report. Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 2 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.312(b)
AU-9	+GR	+GR	+GR	+R	Justification to Select: When audit information contains PII or PHI, it must be protected commensurate with its PII confidentiality impact level. Audit information could be necessary to enforce criminal or civil penalties under the Privacy Act. Protecting audit records from compromise by applying this control enhancement helps ensure their availability when needed. Low, Moderate, and High PII Confidentiality Impact Level Supplementary Guidance: Related Control: AU-4(1). Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(i); OMB M-07-16; OMB Circular A-130, 7.g. and Appendix II PHI Regulatory/Statutory Reference: 45 C.F.R. §164.306(a)(1)
AU-9 (3)		+GR	+GR	+GR	Justification to Select: Using cryptographic mechanisms protects audit log integrity and the confidentiality of the information in the logs, including information related to privacy incidents and breaches. Audit information could be necessary to enforce criminal or civil penalties under the Privacy Act. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: In addition to cryptographic mechanisms to protect integrity, the confidentiality of PII may require the use of encryption. PHI Supplemental Guidance: Under HIPAA, encryption is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Using cryptographic protection allows the organization to utilize the "Safe Harbor" provision under the Breach Notification Rule. If PHI is encrypted pursuant to the Guidance Specifying the Technologies and Methodologies that Render Protected Health Information Unusable, Unreadable, or Indecipherable to Unauthorized Individuals (74 FR 42740), then no breach notification is required following an impermissible use or disclosure of the information. Therefore, organizations should use cryptographic protections for PHI stored on electronic media. Related Controls: RA-3, SI-12. Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(i); OMB Circular A-130, 7.g. and Appendix II PHI Regulatory/Statutory References: 45 C.F.R. §164.306(a)(1); 45 C.F.R. §164.312(a)(2)(iv)
AU-9 (4)		GR	GR		Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When audit information contains PII, the requirement for access to that audit information is the same as for access to PII generally. As such, access to PII in audit logs requires a needto-know and privacy training commensurate with level of responsibility and access. Privileged users must be evaluated to determine if they have such a need-to-know as part of his or her security function. Related Control: AR-5. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b)(1)
AU-10		+GR	+GR	+R	Justification to Select: Non-repudiation is a critical element of accountability and accuracy of information in system history and logs, and it is important for investigating PII incidents and breaches. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-4, AR-8. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5) and (g)(1)(C); OMB Circular A-130, 7.g. and 8.b(2)(c)(iii) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(b); 45 C.F.R. §164.312(c)(1); 45 C.F.R. §164.312(c)(2); 45 C.F.R. §164.312(e)(2)(i)
AU-10 (1)		+GR	+GR	+R	Justification to Select: Digital signatures support accountability and non-repudiation by assuring data object originator authenticity (provides a reasonable level of certainty regarding who did what), data integrity (data has been manipulated by a verifiable person), and time-stamping for prevention of replay (time-stamping may also useful for gauging timeliness and relevance of PII). Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Digital signatures bind the signer to the information the user signs. Digital signatures support accountability and non-repudiation by assuring data object originator authenticity (provides a reasonable level of certainty regarding who did what), data integrity (data has been manipulated by a verifiable person), and time stamping for prevention of replay (time-stamping may also useful for gauging timeliness and relevance of PII). Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5) and (i)(3); OMB M-04-04; OMB Circular A-130, 7.g. and Appendix II PHI Regulatory/Statutory References: 45 C.F.R. §164.312(b); 45 C.F.R. §164.312(c)(1); 45 C.F.R. §164.312(c)(2); 45 C.F.R. §164.312(e)(2)(i)
AU-11 (1)		GR	GR		Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When audit information contains PII, ensure long-term retrieval systems adequately address necessary safeguards to protect that PII. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10)
AU-12		+R	+R	+R	Justification to Select: This control defines the technical aspects of how the privacy auditing requirements identified in controls AU-2 and AU-3 will be selected, generated and reviewed for compliance. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g. and 8.b(2)(c)(iii) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(b)
AU-12 (3)		+VR	+VR	+VR	Justification to Select: Changes to the audit of information systems containing PII must be limited to a subset of authorized system administrators to ensure integrity of audit logs. This control requires organization to define the individuals or roles that would be able to make changes to audit generation requirements. Moderate and High PII Confidentiality Impact Level Parameter Value: … limited subset of authorized system administrators… … any information system that contains PII … … change in risk based on law enforcement, intelligence, or other credible sources of information or a security incident… PHI Parameter Value: … limited subset of authorized system administrators… … any information system that contains PHI… … change in risk based on law enforcement, intelligence, or other credible sources of information or a security incident… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g. and 8.b(2)(c)(iii) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(b); 45 C.F.R. §164.308(a)(1)(i); 45 C.F.R. §164.308(a)(2)
AU-14		GR	GR		Moderate and High PII Confidentiality Impact Level Supplemental Guidance: The capture or recording of user sessions may involve the collection of the user's own PII, e.g., bank account information or e-mail to clergy or psychiatrist. Some session audit collections may be exempt from the specific notice requirements of the Privacy Act. However, in such cases where the compilation is exempt, consider alternative methods to provide a general notice, e.g., system usage notification. Consult with your counsel to determine adequacy of notice. Related Controls: AP-1, AP-2, TR-1,TR-2. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(7) and (i)(3)
AU-14 (2)		GR	GR		Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When user session information is captured or recorded, ensure relevant privacy controls are addressed. The capture or recording of user sessions may involve the collection of the user's own PII, e.g., bank account information or e-mail to clergy or psychiatrist. Such PII may not be collected without prior publication of a Privacy Act SORN. Investigatory material compiled for law enforcement purposes may be exempt from the specific notice requirements of the Privacy Act. However, in such cases where the compilation is exempt, consider alternative methods to provide a general notice, e.g., system usage notification. Consult with your counsel to determine adequacy of notice. Related Controls: AP-1, AP-2, TR-1, TR-2. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(7) and (i)(3)
AU-14 (3)		GR	GR		Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When user session information is captured or recorded, ensure relevant privacy controls are addressed. The capture or recording of user sessions may involve the collection of the user's own PII, e.g., bank account information or e-mail to clergy or psychiatrist. Such PII may not be collected without prior publication of a Privacy Act SORN. Investigatory material compiled for law enforcement purposes may be exempt from the specific notice requirements of the Privacy Act. However, in such cases where the compilation is exempt, consider alternative methods to provide a general notice, e.g., system usage notification. Consult with your counsel to determine adequacy of notice. Related Controls: AP-1, AP-2, TR-1, TR-2. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(7) and (i)(3)
AU-16 (2)				+GVR	Justification to Select: As audit logs may contain PII, when audit information is shared between organizations, either an agreement addressing the handling, protection, and disclosure of PII is required, or the sharing is covered by ICS 500-27 or ICS 700-02. PHI Supplemental Guidance: MOUs, memoranda of agreement (MOAs), and other data sharing agreements must address both protection of PHI, audit content confidentiality ensuring authorized disclosures, and assurance that sharing agreement define which audit events and results are both captured and shared. PHI Parameter Value: … to any organization with whom audit information containing PII or PHI is shared… … MOUs, MOAs, or other data sharing agreements… PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(b); 45 C.F.R. §164.314
CA-1	+GR	+GR	+GR	+R	Justification to Select: The security assessment and authorization policy, procedures and personnel responsibilities should address the strategy for including applicable privacy requirements (e.g., the planned CNSSI No. 1253 Privacy Overlay and NIST SP 800-53 Rev. 4 Privacy Control Catalog) in the security program and information systems. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The security assessment and authorization policy and procedures should address the strategy for including applicable privacy requirements and controls in the security program and information systems. Related Controls: AR-1, AR-7. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(8); 45 C.F.R. §164.316(b)(1)(ii); 45 C.F.R. §164.316(b)(2)(ii); 45 C.F.R. §164.308(a)(2)
CA-2	+GR	+GR	+GR	+VR	Justification to Select: This control addresses the process of planning for and executing security assessments, the scope of which should include assessment of applicable privacy requirements. Low, Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Once the final security assessment is completed, update the associated PIA to reflect the results of the security assessment. Related Control: AR-2. PHI Parameter Value: …at least annually and in response to environmental or operational changes affecting the security of electronic protected health information. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB M-07-16, Att. 1, A.2.c PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(8)
CA-3		+R	+R	+GVR	Justification to Select: Interconnection Security Agreements (ISAs) document whether and under what circumstances PII can be shared between information systems in different authorization boundaries (e.g., an interface between systems owned by different agencies) over a dedicated or "always on" connection. ISAs communicate that PII will be communicated via the connection and define the security parameters required to protect it. ISAs also provide a record of agreed upon terms and a document to against which controls can be enforced and audited. Organizational policy dictates whether ISAs are required for internal connections within an organization. PHI Supplemental Guidance: Consider the need for a MOU/MOA or Business Associate Agreement, and implement as necessary. PHI Parameter Value: …at least annually and in response to environmental or operational changes affecting the security of electronic protected health information. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(o) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(b)(1); 45 C.F.R. §164.308(b)(3); 45 C.F.R. §164.314(a)(2)(ii); 45 C.F.R. §164.504(e)(3)
CA-3 (3)	+VR	+VR	+VR	+R	Justification to Select: Boundary protection devices protect systems containing PII from unauthorized access by individuals outside the organization. A firewall is such a boundary protection device. Low, Moderate and High PII Confidentiality Impact Level Parameter Value: … systems containing PII… … a firewall or other network boundary protection device approved to prevent unauthorized access to the system… Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); OMB M-07-16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(a)(1)
CA-3 (5)	+VR	+VR	+VR	+R	Justification to Select: External network connections open up the opportunity for intentional as well as inadvertent disclosure of PII. E-mail and file sharing applications are common points of vulnerability. Organizations require the ability to evaluate external network connections on a case-by-case basis to ensure such connections do not permit unauthorized access or disclosure of PII. Low, Moderate and High PII Confidentiality Impact Level Parameter Value: … permit-by-exception… … information systems containing PII… Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB M-07-16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(a)(1)
CA-6	+EGR	+EGR	+EGR	+GR	Justification to Select: One of the considerations for the "go/no go" decision when authorizing (or re-authorizing) an information system is whether applicable privacy requirements have been met. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Prior to authorizing an information system containing PII a privacy impact assessment must be completed. Low, Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-2, AR-4, CA-5. PHI Supplemental Guidance: The senior-level executive should be one of the following: HIPAA Security Officer, Authorizing Official, Program Manager, Information System Security Manager (ISSM), or Information System Security Officer (ISSO). Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: Pub. L. No. 107-347, §208; 5 U.S.C. §552a(e)(10) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(2); 45 C.F.R. §164.308(a)(8); 45 C.F.R. §164.316(b)(2)(iii)
CA-7		+GR	+GR	+GR	Justification to Select: The state of security controls can directly correlate to privacy risk. Continuous monitoring supports the identification of issues that could result in unauthorized access to PII, data quality issues, and other privacy concerns that are supported by security controls (e.g., the controls in the Privacy Overlays). Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-4. PHI Supplemental Guidance: Consider using automated tools and mechanisms for system activity review. The effectiveness of continuous monitoring of various activities, for example, failed or successful log-ins, inappropriate file access, detecting and reporting on malicious code/viruses through network transmission, is enhanced through the use of approved automated tools. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.308(a)(8)
CA-8			+GVR		Justification to Select: Penetration testing is one method to ensure that security and privacy controls are operating as intended. The sensitivity of information that is at the high PII confidentiality impact level necessitates testing prior to authorization of the information system and periodically thereafter. The standard rules of engagement for penetration testing should be coordinated with the privacy office to address unintended disclosure of PII. High PII Confidentiality Impact Level Supplemental Guidance: When user session information and other PII is captured or recorded during penetration testing, ensure relevant privacy controls are addressed. Related Controls: AP-1, AP-2, TR-1, TR-2. High PII Confidentiality Impact Level Parameter Value: … prior to authorization of information system and periodically no less frequently than when a significant change to the information system occurs… … information systems containing PII at the High PII confidentiality impact level… High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and 8.b(3)
CA-9		+GVR	+GVR	+VR	Justification to Select: Privacy requirements such as sharing and disclosure apply to internal systems and their connections as well as to external connections. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Include privacy requirements in the Information Connection Document (or equivalent such as an Interconnection Security Agreement or an Authority to Connect package), specifically addressing the collection authority, compatibility of purpose for use, and need for recipient of information to achieve specific business purpose. Documentation must also address responsibilities of the receiving information system for protecting PII. Related Controls: AC-3, UL-1, UL-2. Moderate and High PII Confidentiality Impact Level Parameter Value: … information systems containing PII… PHI Parameter Value: … information systems containing PHI… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and 8.b(3)(b) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(d); 45 C.F.R. §164.312(e)(1)
CA-9 (1)		+GR	+GR	+R	Justification to Select: Control is necessary to confirm compliance with CA-9 prior to connection. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Security compliance checks may include an assessment, prior to initial connection, of specific components, e.g., printers, based on sensitivity of PII processed by that component. Any change to the components' security posture would require a re-verification of the configuration settings. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and 8.b(3)(b) PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.308(a)(8); 45 C.F.R. §164.308(a)(1)(i); 45 C.F.R. §164.306(a); 45 C.F.R. §164.312(d); 45 C.F.R. §164.312(e)(1)
CM-3 (6)	+GVR	+GVR	+GVR	+GVR	Justification to Select: If encryption is used to protect PII or PHI, there must be a management process in place to ensure future access to such information. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When encrypting PII, there must be management processes in place to ensure future access to such data. Related Controls: SC-8, SC-12, SC-13, SC-28. PHI Supplemental Guidance: When encrypting PHI, there must be management processes in place to ensure future access to such data. Related Controls: SC-8, SC-12, SC-13, SC-28. Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: … … encryption of Low, Moderate, and High PII…… PHI Parameter Value: … encryption of PHI… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5) and (e)(10); OMB M-06-16; OMB Circular A-130, Appendix I PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(2)(iv); 45 C.F.R. §164.312(c)(1); 45 C.F.R. §164.312(e)(2)(ii)
CM-4	+GR	+GR	+GR	+R	Justification to Select: Security Impact Analyses examine changes to information systems and any information security ramifications. Any security impacts identified may also impact the implementation of privacy requirements. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When analyzing changes to the information system, the impacts to privacy are also considered. If necessary, conduct a privacy impact assessment. Related Control: AR-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: E-Government Act of 2002 (Pub. L. No. 107-347), §208; OMB M-03-22 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(A); 45 C.F.R. §164.308(a)(1)(ii)(B); 45 C.F.R. §164.308(a)(8)
CM-4 (1)		+GR	+GR		Justification to Select: If the system contains PII, the test environment must have the same security controls as the operating environment. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: If PII is used in the test environment, then the same controls required for systems containing PII must be applied to the test environment. Simulated PII information should be used to the maximum extent practicable when testing system functionality. Related Controls: SA15(9), AP-2, AR-3, DM-2, DM-3,UL-1. Moderate and High PII Confidentiality Impact Level Statutory/Regulatory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g.
CM-4 (2)		+R	+R	+R	Justification to Select: If a system change is made, verification of Privacy Overlay security control functions is required to ensure continued compliance with privacy-related statutes and regulations. Moderate and High PII Confidentiality Impact Level Statutory/Regulatory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g. PHI Statutory/Regulatory Reference: 45 C.F.R. §164.308(a)(7)(ii)(D); 45 C.F.R. §164.308(a)(8); 45 C.F.R. §164.316(b)(2)(iii)
CM-8 (1)				+R	Justification to Select: Identifying any changes or updates to system inventories allow organizations to accurately track the equipment on which their information systems are run and maintains an accurate inventory of hardware and software used to collect and manage PHI. Maintaining a current inventory supports accountability controls and may also support breach response efforts. PHI Regulatory/Statutory References: 45 C.F.R. §164.310(d)(1); 45 C.F.R. §164.310(d)(2)(iii)
CP-1	+R	+R	+R	+R	Justification to Select: Contingency planning policy and procedures must take privacyapplicable requirements into account so that executing contingency measures does not result in avoidable privacy incidents and breaches. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g. and 8(a)(1) and 8(b)(3). PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(7)(i)
CP-2	+R	+R	+R	+GR	Justification to Select: Contingency plans must take privacy applicable requirements into account so that executing contingency measures does not result in avoidable privacy incidents and breaches. PHI Supplemental Guidance: The contingency plan for systems containing PHI must include: 1) Data backup plan, 2) Disaster recovery plan, 3) Emergency mode operation plan, and 4) Emergency access procedures. Additionally, the decision to include the following is dependent on a risk analysis to determine if or to what extent these should be included in the contingency plan: 1) Testing and revision procedures, 2) Applications and data criticality analysis, and 3) Contingency operations (i.e., procedures that allow facility access in support of restoration of lost data. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130 7.g. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(7)(i)-(ii); 45 C.F.R. §164.310(a)(2)(i); 45 C.F.R. §164.312(a)(2)(ii)
