Control	TITLE	Confidentiality_Low	Confidentiality_Moderate	Confidentiality_High	Integrity_Low	Integrity_Moderate	Integrity_High	Availability_Low	Availability_Moderate	Availability_High	ID	C	I	A	Justification for NSS Baseline	Potentially Common or Inheritable	Parameters
CA-2 (3)	Security Assessments | External Organizations										CA-2 (3)	X	X	X		X	
CA-3	System Interconnections	X	X	X	X	X	X				CA-3	X	X				c. [Assignment: organization-defined frequency]
CA-3 (1)	System Interconnections | Unclassified National Security System Connections	+	+	+							CA-3 (1)	X			NSS Best Practice.	X	[Assignment: organization-defined unclassified, national security system]; [Assignment: organization-defined boundary protection device]
CA-3 (2)	System Interconnections | Classified National Security System Connections										CA-3 (2)	X				X	
CA-3 (3)	System Interconnections | Unclassified Non- National Security System Connections										CA-3 (3)	X	X				
CA-3 (4)	System Interconnections | Connections to Public Networks										CA-3 (4)	X	X				
CA-3 (5)	System Interconnections | Restrictions on External Network Connections	+	X	X	+	X	X				CA-3 (5)	X	X		APT.		[Selection: allow-all, deny-by-exception; deny- all, permit-by-exception]; [Assignment: organization-defined information systems] to connect to external information systems.
CA-4	Security Certification	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CA-4	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CA-5	Plan of Action and Milestones	X	X	X	X	X	X	X	X	X	CA-5	X	X	X			[Assignment: organization-defined frequency]
CA-5 (1)	Plan of Action and Milestones | Automation Support For Accuracy / Currency										CA-5 (1)	X	X	X			
CA-6	Security Authorization	X	X	X	X	X	X	X	X	X	CA-6	X	X	X			c. [Assignment: organization-defined frequency]
CA-7	Continuous Monitoring	X	X	X	X	X	X	X	X	X	CA-7	X	X	X			
CA-7 (1)	Continuous Monitoring | Independent Assessment		X	X		X	X		X	X	CA-7 (1)	X	X	X		X	
CA-7 (2)	Continuous Monitoring | Types of Assessments	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CA-7 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CA-7 (3)	Continuous Monitoring | Trend Analyses										CA-7 (3)	X	X	X			
CA-8	Penetration Testing						X				CA-8		X				
CA-8 (1)	Penetration Testing | Independent Penetration Agent or Team										CA-8 (1)		X				
CA-8 (2)	Penetration Testing | Red Team Exercises										CA-8 (2)		X				
CA-9	Internal System Connections	X	X	X	X	X	X				CA-9	X	X			X	
CA-9 (1)	Internal System Connections | Security Compliance Checks										CA-9 (1)	X	X				
CM-1	Configuration Management Policy and Procedures	X	X	X	X	X	X				CM-1	X	X			X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
CM-2	Baseline Configuration				X	X	X				CM-2		X				
CM-2 (1)	Baseline Configuration | Reviews and Updates				+	X	X				CM-2 (1)		X		Enables continuous monitoring. Insider Threat.	X	(a) [Assignment: organization-defined frequency];  (b) [Assignment organization-defined circumstances]
CM-2 (2)	Baseline Configuration | Automation Support For Accuracy / Currency						X				CM-2 (2)		X				[Assignment: organization-defined previous versions of baseline configurations of the information system]
CM-2 (3)	Baseline Configuration | Retention of Previous Configurations					X	X				CM-2 (3)		X				
CM-2 (4)	Baseline Configuration | Unauthorized Software	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CM-2 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CM-2 (5)	Baseline Configuration | Authorized Software	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CM-2 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CM-2 (6)	Baseline Configuration | Development and Test Environments										CM-2 (6)		X				
CM-2 (7)	Baseline Configuration | Configure Systems, Components, or Devices for High-Risk Areas					X	X				CM-2 (7)		X				
CM-3	Configuration Change Control				+	X	X				CM-3		X		Enables continuous monitoring. Insider Threat.	X	e. [Assignment: organization-defined time period]; g. [Assignment: organization-defined configuration change control element  (e.g., committee, board]; [Selection  (one or more):; [Assignment: organization-defined frequency]; [Assignment: organization-defined configuration change conditions]]
CM-3 (1)	Configuration Change Control | Automated Document / Notification / Prohibition of Changes						X				CM-3 (1)		X			X	
CM-3 (2)	Configuration Change Control | Test / Validate / Document Changes					X	X				CM-3 (2)		X				
CM-3 (3)	Configuration Change Control | Automated Change Implementation										CM-3 (3)		X				
CM-3 (4)	Configuration Change Control | Security Representative				+	+	+				CM-3 (4)		X		NSS Best Practice. In support of and/or consistent with CM-3.	X	[Assignment: organization-defined configuration change control element]
CM-3 (5)	Configuration Change Control | Automated Security Response						+				CM-3 (5)		X		Issuance: CNSSD No. 508  (draft).		
CM-3 (6)	Configuration Change Control | Cryptography Management				+	+	+				CM-3 (6)		X		Insider Threat.		[Assignment: organization-defined security safeguards]
CM-4	Security Impact Analysis				X	X	X				CM-4		X			X	
CM-4 (1)	Security Impact Analysis | Separate Test Environments					+	X				CM-4 (1)		X		NSS Best Practice.		
CM-4 (2)	Security Impact Analysis | Verification of Security Functions										CM-4 (2)		X				
CM-5	Access Restrictions For Change				+	X	X				CM-5		X		Insider Threat.		
CM-5 (1)	Access Restrictions For Change | Automated Access Enforcement / Auditing					+	X				CM-5 (1)		X		Insider Threat.		
CM-5 (2)	Access Restrictions For Change | Review System Changes					+	X				CM-5 (2)		X		Insider Threat. Issuance: CNSSD No. 508  (draft).		[Assignment: organization-defined frequency]; [Assignment: organization-defined circumstances]
CM-5 (3)	Access Restrictions For Change | Signed Components						X				CM-5 (3)		X				[Assignment: organization-defined software and firmware components]
CM-5 (4)	Access Restrictions For Change | Dual Authorization										CM-5 (4)		X				
CM-5 (5)	Access Restrictions For Change | Limit Production / Operational Privileges				+	+	+				CM-5 (5)		X		Insider Threat. NSS Best Practice. In support of and/or consistent with AC-6.	X	(b) [Assignment: organization-defined frequency]
CM-5 (6)	Access Restrictions For Change | Limit Library Privileges				+	+	+				CM-5 (6)		X		Insider Threat. APT.	X	
CM-5 (7)	Access Restrictions For Change | Automatic Implementation of Security Safeguards	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CM-5 (7)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CM-6	Configuration Settings				X	X	X				CM-6		X			X	a. [Assignment: organization-defined security configuration checklists]; c. [Assignment: organization-defined information system components]; [Assignment: organization-defined operational requirements]
CM-6 (1)	Configuration Settings | Automated Central Management / Application / Verification					+	X				CM-6 (1)		X		Insider Threat. Issuance: CNSSI No. 1015.	X	[Assignment: organization-defined information system components]
CM-6 (2)	Configuration Settings | Respond to Unauthorized Changes						X				CM-6 (2)		X				
CM-6 (3)	Configuration Settings | Unauthorized Change Detection	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CM-6 (3)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CM-6 (4)	Configuration Settings | Conformance Demonstration	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CM-6 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CM-7	Least Functionality	X	X	X	X	X	X				CM-7	X	X				
CM-7 (1)	Least Functionality | Periodic Review	+	X	X	+	X	X				CM-7 (1)	X	X		Insider Threat. APT.		(a) [Assignment: organization-defined frequency];  (b) [Assignment: organization-defined functions, ports, protocols, and services within the; information system deemed to be unnecessary and/or nonsecure]
CM-7 (2)	Least Functionality | Prevent Program Execution	+	X	X	+	X	X				CM-7 (2)	X	X		Insider Threat. NSS Best Practice.		
CM-7 (3)	Least Functionality | Registration Compliance	+	+	+	+	+	+				CM-7 (3)	X	X		Insider Threat. NSS Best Practice.	X	
CM-7 (4)	Least Functionality | Unauthorized Software / Blacklisting										CM-7 (4)	X	X		This control enhancement is not needed for NSS since this Instruction prescribes whitelisting, CM- 7 (5), at the moderate level for integrity which is more stringent.	X	(a) [Assignment: organization-defined software programs not authorized to execute on the; information system];  (c) [Assignment: organization-defined frequency]
CM-7 (5)	Least Functionality | Authorized Software / Whitelisting	+	+	X	+	+	X				CM-7 (5)	X	X		Insider Threat. APT. Issuance: CNSSP No. 26	X	(a) [Assignment: organization-defined software programs authorized to execute on the; information system]; (c) [Assignment: organization-defined frequency]
CM-8	Information System Component Inventory				X	X	X				CM-8		X			X	a.4. [Assignment: organization-defined information deemed necessary to achieve effective information system component accountability]; b. [Assignment: organization-defined frequency]
CM-8 (1)	Information System Component Inventory | Updates During Installations / Removals					X	X				CM-8 (1)		X				
CM-8 (2)	Information System Component Inventory | Automated Maintenance				+	+	X				CM-8 (2)		X		NSS Best Practice.	X	
CM-8 (3)	Information System Component Inventory | Automated Unauthorized Component Detection				+	X	X				CM-8 (3)		X		Insider Threat. NSS Best Practice.	X	(a) [Assignment: organization-defined frequency]; (b) [Selection  (one or more): disables network access by such components; isolates the components; notifies; [Assignment: organization-defined personnel or roles]]
CM-8 (4)	Information System Component Inventory | Accountability Information			X			X				CM-8 (4)	X	X			X	[Selection  (one or more): name; position; role]
CM-8 (5)	Information System Component Inventory | No Duplicate Accounting of Components					X	X				CM-8 (5)		X			X	
CM-8 (6)	Information System Component Inventory | Assessed Configurations / Approved Deviations										CM-8 (6)		X			X	
CM-8 (7)	Information System Component Inventory | Centralized Repository										CM-8 (7)		X			X	
CM-8 (8)	Information System Component Inventory | Automated Location Tracking										CM-8 (8)		X			X	
CM-8 (9)	Information System Component Inventory | Assignment of Components to Systems										CM-8 (9)		X			X	(a) [Assignment: organization-defined acquired information system components]
CM-9	Configuration Management Plan				+	X	X				CM-9		X		In support of and/or consistent with the control allocations for the CM family.		
CM-9 (1)	Configuration Management Plan | Assignment of Responsibility										CM-9 (1)		X			X	
CM-10	Software Usage Restrictions				X	X	X				CM-10		X			X	
CM-10 (1)	Software Usage Restrictions | Open Source Software				+	+	+				CM- 10 (1)		X		NSS Best Practice.	X	
CM-11	User-Installed Software	X	X	X	X	X	X				CM-11	X	X			X	a. [Assignment: organization-defined policies]; b. [Assignment: organization-defined methods]; c. [Assignment: organization-defined frequency]
CM-11 (1)	User-Installed Software | Alerts For Unauthorized Installations			+			+				CM-11 (1)	X	X		Insider Threat. APT.		
CM-11 (2)	User-Installed Software | Prohibit Installation without Privileged Status	+	+	+	+	+	+				CM-11 (2)	X	X		Insider Threat. APT.		
CP-1	Contingency Planning Policy and Procedures	X	X	X	X	X	X	X	X	X	CP-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
CP-2	Contingency Plan							X	X	X	CP-2			X			a.6. [Assignment: organization-defined personnel or roles]; b. [Assignment: organization-defined key contingency personnel  (identified by name and/or by role) and organizational elements]; d. [Assignment: organization-defined frequency]; f. [Assignment: organization-defined key contingency personnel  (identified by name and/or by role) and organizational elements]
CP-2 (1)	Contingency Plan | Coordinate With Related Plans								X	X	CP-2 (1)			X			
CP-2 (2)	Contingency Plan | Capacity Planning									X	CP-2 (2)			X		X	
CP-2 (3)	Contingency Plan | Resume Essential Missions / Business Functions								X	X	CP-2 (3)			X		X	[Assignment: organization-defined time period]
CP-2 (4)	Contingency Plan | Resume All Missions / Business Functions									X	CP-2 (4)			X		X	[Assignment: organization-defined time period]
CP-2 (5)	Contingency Plan | Continue Essential Missions / Business Functions									X	CP-2 (5)			X		X	
CP-2 (6)	Contingency Plan | Alternate Processing / Storage Site										CP-2 (6)			X		X	
CP-2 (7)	Contingency Plan | Coordinate With External Service Providers										CP-2 (7)			X			
CP-2 (8)	Contingency Plan | Identify Critical Assets								X	X	CP-2 (8)			X			
CP-3	Contingency Training							X	X	X	CP-3			X			a. [Assignment: organization-defined time period]; c. [Assignment: organization-defined frequency]
CP-3 (1)	Contingency Training | Simulated Events									X	CP-3 (1)			X			
CP-3 (2)	Contingency Training | Automated Training Environments										CP-3 (2)			X			
CP-4	Contingency Plan Testing							X	X	X	CP-4			X			a. [Assignment: organization-defined frequency] [Assignment: organization-defined tests]
CP-4 (1)	Contingency Plan Testing | Coordinate With Related Plans								X	X	CP-4 (1)			X			
CP-4 (2)	Contingency Plan Testing | Alternate Processing Site									X	CP-4 (2)			X			
CP-4 (3)	Contingency Plan Testing | Automated Testing										CP-4 (3)			X			
CP-4 (4)	Contingency Plan Testing | Full Recovery / Reconstitution										CP-4 (4)			X			
CP-5	Contingency Plan Update	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-5	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-6	Alternate Storage Site								X	X	CP-6			X		X	
CP-6 (1)	Alternate Storage Site | Separation From Primary Site								X	X	CP-6 (1)			X		X	
CP-6 (2)	Alternate Storage Site | Recovery Time / Point Objectives									X	CP-6 (2)			X		X	
CP-6 (3)	Alternate Storage Site | Accessibility								X	X	CP-6 (3)			X		X	
CP-7	Alternate Processing Site		X	X		X	X		X	X	CP-7	X	X	X		X	a. [Assignment: organization-defined information system operations]; [Assignment: organization-defined time period consistent with recovery time and recovery point objectives]
CP-7 (1)	Alternate Processing Site | Separation From Primary Site								X	X	CP-7 (1)			X		X	
CP-7 (2)	Alternate Processing Site | Accessibility								X	X	CP-7 (2)			X		X	
CP-7 (3)	Alternate Processing Site | Priority of Service								X	X	CP-7 (3)			X		X	
CP-7 (4)	Alternate Processing Site | Preparation for Use									X	CP-7 (4)			X		X	
CP-7 (5)	Alternate Processing Site | Equivalent Information Security Safeguards	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-7 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-7 (6)	Alternate Processing Site | Inability to Return to Primary Site										CP-7 (6)			X		X	
CP-8	Telecommunications Services								X	X	CP-8			X		X	[Assignment: organization-defined information system operations]; [Assignment: organization-defined time period]
CP-8 (1)	Telecommunications Services | Priority of Service Provisions								X	X	CP-8 (1)			X		X	
CP-8 (2)	Telecommunications Services | Single Points of Failure								X	X	CP-8 (2)			X		X	
CP-8 (3)	Telecommunications Services | Separation of Primary / Alternate Providers									X	CP-8 (3)			X		X	
CP-8 (4)	Telecommunications Services | Provider Contingency Plan									X	CP-8 (4)			X		X	
CP-8 (5)	Telecommunications Services | Alternate Telecommunication Service Testing									+	CP-8 (5)			X	Best Practice.		
CP-9	Information System Backup	X	X	X	X	X	X	X	X	X	CP-9	X	X	X			a. [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; b. [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; c. [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]
CP-9 (1)	Information System Backup | Testing For Reliability / Integrity					X	X		X	X	CP-9 (1)		X	X			[Assignment: organization-defined frequency]
CP-9 (2)	Information System Backup | Test Restoration Using Sampling									X	CP-9 (2)			X			
CP-9 (3)	Information System Backup | Separate Storage for Critical Information									X	CP-9 (3)			X		X	[Assignment: organization-defined critical; information system software and other security- related information]
CP-9 (4)	Information System Backup | Protection From Unauthorized Modification	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-9 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-9 (5)	Information System Backup | Transfer to Alternate Storage Site								+	X	CP-9 (5)			X	In support of and/or consistent with CP-6.		[Assignment: organization-defined time period and transfer rate consistent with the recovery; time and recovery point objectives]
CP-9 (6)	Information System Backup | Redundant Secondary System										CP-9 (6)			X			
CP-9 (7)	Information System Backup | Dual Authorization										CP-9 (7)			X			[Assignment: organization-defined backup information]
CP-10	Information System Recovery and Reconstitution							X	X	X	CP-10			X		X	
CP-10 (1)	Information System Recovery and Reconstitution | Contingency Plan Testing	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-10 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-10 (2)	Information System Recovery and Reconstitution | Transaction Recovery					X	X		X	X	CP-10 (2)		X	X			
CP-10 (3)	Information System Recovery and Reconstitution | Compensating Security Controls	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-10 (3)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-10 (4)	Information System Recovery and Reconstitution | Restore Within Time Period						X			X	CP-10 (4)		X	X			[Assignment: organization-defined restoration time-periods]
CP-10 (5)	Information System Recovery and Reconstitution | Failover Capability	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	CP-10 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
CP-10 (6)	Information System Recovery and Reconstitution | Component Protection										CP-10 (6)		X	X			
CP-11	Alternate Communications Protocols										CP-11			X			[Assignment: organization-defined alternative communications protocols]
CP-12	Safe Mode										CP-12		X	X			
CP-13	Alternative Security Mechanisms										CP-13			X			
IA-1	Identification and Authentication Policy and Procedures	X	X	X	X	X	X				IA-1	X	X			X	a. [Assignment: organization-defined personnel or roles]; b.1. Identification and authentication policy [Assignment: organization-defined frequency]; and; b.2. Identification and authentication procedures [Assignment: organization-defined frequency]
IA-2	Identification and Authentication  (Organizational Users)	X	X	X	X	X	X				IA-2	X	X				
IA-2 (1)	Identification and Authentication  (Organizational Users) | Network Access to Privileged Accounts	X	X	X	X	X	X				IA-2 (1)	X	X				
IA-2 (2)	Identification and Authentication  (Organizational Users) | Network Access to Non-Privileged Accounts	+	X	X	+	X	X				IA-2 (2)	X	X		Issuance: CNSSP No. 25		
IA-2 (3)	Identification and Authentication  (Organizational Users) | Local Access to Privileged Accounts		X	X		X	X				IA-2 (3)	X	X				
IA-2 (4)	Identification and Authentication  (Organizational Users) | Local Access to Non-Privileged Accounts		+	X		+	X				IA-2 (4)	X	X		Issuance: CNSSP No. 25		a. [Assignment: organization-defined personnel or roles]; d.[Assignment: organization-defined time period]; e. [Assignment: organization-defined time period of inactivity]
IA-2 (5)	Identification and Authentication  (Organizational Users) | Group Authentication	+	+	+	+	+	+				IA-2 (5)	X	X		Insider Threat.		
IA-2 (6)	Identification and Authentication  (Organizational Users) | Network Access to Privileged Accounts - Separate Device										IA-2 (6)	X	X				
IA-2 (7)	Identification and Authentication  (Organizational Users) | Network Access to Non-Privileged Accounts - Separate Device										IA-2 (7)	X	X				
IA-2 (8)	Identification and Authentication  (Organizational Users) | Network Access to Privileged Accounts - Replay Resistant	+	X	X	+	X	X				IA-2 (8)	X	X		APT.		
IA-2 (9)	Identification and Authentication  (Organizational Users) | Network Access to Non-Privileged Accounts - Replay Resistant		+	X		+	X				IA-2 (9)	X	X		APT.		
IA-2 (10)	Identification and Authentication  (Organizational Users) | Single Sign-On										IA-2 (10)			X			
IA-2 (11)	Identification and Authentication  (Organizational Users) | Remote Access - Separate Device	+	X	X	+	X	X				IA-2 (11)	X	X		APT.		
IA-2 (12)	Identification and Authentication  (Organizational Users) | Acceptance of PIV Credentials	X	X	X	X	X	X				IA-2 (12)	X	X				
IA-2 (13)	Identification and Authentication | Out-of- Band Authentication										IA-2 (13)	X	X				
IA-3	Device Identification and Authentication	+	X	X	+	X	X				IA-3	X	X		APT. Insider Threat.		
IA-3 (1)	Device Identification and Authentication | Cryptographic Bidirectional Authentication		+	+		+	+				IA-3 (1)	X	X		APT. Insider Threat. Issuance: CNSSP No. 17		
IA-3 (2)	Device Identification and Authentication | Cryptographic Bidirectional Network Authentication	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	IA-3 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
IA-3 (3)	Device Identification and Authentication | Dynamic Address Allocation										IA-3 (3)	X	X			X	
IA-3 (4)	Device Identification and Authentication | Device Attestation										IA-3 (4)	X	X				
IA-4	Identifier Management	X	X	X	X	X	X				IA-4	X	X			X	
IA-4 (1)	Identifier Management | Prohibit Account Identifiers As Public Identifiers										IA-4 (1)	X	X				
IA-4 (2)	Identifier Management | Supervisor Authorization										IA-4 (2)		X				
IA-4 (3)	Identifier Management | Multiple Forms of Certification										IA-4 (3)	X	X				
IA-4 (4)	Identifier Management | Identify User Status	+	+	+	+	+	+				IA-4 (4)	X	X		Insider Threat. NSS Best Practice.	X	
IA-4 (5)	Identifier Management | Dynamic Management										IA-4 (5)	X	X				
IA-4 (6)	Identifier Management | Cross-Organization Management										IA-4 (6)	X	X				
IA-4 (7)	Identifier Management | In Person Registration										IA-4 (7)	X	X				
IA-5	Authenticator Management	X	X	X	X	X	X				IA-5	X	X			X	g. [Assignment: organization-defined time period by authenticator type]
IA-5 (1)	Authenticator Management | Password-Based Authentication	X	X	X	X	X	X				IA-5 (1)	X	X				(a) [Assignment: organization-defined requirements for case sensitivity, number of characters, mix of upper-case letters, lower-case letters, numbers, and special characters,; including minimum requirements for each type]; (b) [Assignment: organization-defined number]; (d) [Assignment: organization-defined numbers for lifetime minimum, lifetime maximum]; (e) [Assignment: organization-defined number]
IA-5 (2)	Authenticator Management | PKI-Based Authentication		X	X		X	X				IA-5 (2)	X	X				
IA-5 (3)	Authenticator Management | In Person or Trusted Third-Party Registration					X	X				IA-5 (3)		X			X	
IA-5 (4)	Authenticator Management | Automated Support for Password Strength Determination	+	+	+	+	+	+				IA-5 (4)	X	X		APT. NSS Best Practice.  Insider Threat.		[Assignment: organization-defined requirements]
IA-5 (5)	Authenticator Management | Change Authenticators Prior to Delivery										IA-5 (5)	X	X				
IA-5 (6)	Authenticator Management | Protection of Authenticators										IA-5 (6)	X	X			X	
IA-5 (7)	Authenticator Management | No Embedded Unencrypted Static Authenticators	+	+	+							IA-5 (7)	X			NSS Best Practice.		
IA-5 (8)	Authenticator Management | Multiple Information System Accounts	+	+	+	+	+	+				IA-5 (8)	X	X		APT. NSS Best Practice.  Insider Threat.	X	[Assignment: organization-defined security safeguards]
IA-5 (9)	Authenticator Management | Cross- Organization Credential Management										IA-5 (9)	X	X				
IA-5 (10)	Authenticator Management | Dynamic Credential Association										IA-5 (10)			X			
IA-5 (11)	Authenticator Management | Hardware Token-Based Authentication				X	X	X				IA-5 (11)		X				
IA-5 (12)	Authenticator Management | Biometric Authentication										IA-5 (12)		X				
IA-5 (13)	Authenticator Management | Expiration of Cached Authenticators	+	+	+	+	+	+				IA-5 (13)	X	X		NSS Best Practice.		[Assignment: organization-defined time period].
IA-5 (14)	Authenticator Management | Managing Content of PKI Trust stores	+	+	+	+	+	+				IA-5 (14)	X	X		Issuance: CNSSP No. 25	X	
IA-5 (15)	Authenticator Management | FICAM- Approved Products and Services										IA-5 (15)		X				
IA-6	Authenticator Feedback	X	X	X							IA-6	X					
IA-7	Cryptographic Module Authentication	X	X	X	X	X	X				IA-7	X	X				
IA-8	Identification and Authentication  (Non- Organizational Users)	X	X	X	X	X	X				IA-8	X	X				
IA-8 (1)	Identification and Authentication  (Non- Organizational Users) | Acceptance of PIV Credentials from Other Agencies	X	X	X	X	X	X				IA-8 (1)	X	X				
IA-8 (2)	Identification and Authentication  (Non- Organizational Users) | Acceptance of Third- Party Credentials				X	X	X				IA-8 (2)		X				
IA-8 (3)	Identification and Authentication  (Non- Organizational Users) | Use of FICAM- Approved Products				X	X	X				IA-8 (3)		X				
IA-8 (4)	Identification and Authentication  (Non- Organizational Users) | Use of FICAM-Issued Profiles				X	X	X				IA-8 (4)		X				
IA-8 (5)	Identification and Authentication  (Non- Organizational Users) | Acceptance of PIV-I Credentials										IA-8 (5)	X	X				
IA-9	Service Identification and Authentication										IA-9	X	X				
IA-9 (1)	Service Identification and Authentication | Information Exchange										IA-9 (1)	X	X				
IA-9 (2)	Service Identification and Authentication | Transmission of Decisions										IA-9 (2)	X	X				
IA-10	Adaptive Identification and Authentication			+			+				IA-10	X	X		APT.		
IA-11	Re-authentication			+			+				IA-11	X	X		APT.		
IR-1	Incident Response Policy and Procedures	X	X	X	X	X	X	X	X	X	IR-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
IR-2	Incident Response Training	X	X	X	X	X	X	X	X	X	IR-2	X	X	X			a. [Assignment: organization-defined time period]; c. [Assignment: organization-defined frequency]
IR-2 (1)	Incident Response Training | Simulated Events			X			X			X	IR-2 (1)	X	X	X			
IR-2 (2)	Incident Response Training | Automated Training Environments						X			X	IR-2 (2)		X	X			
IR-3	Incident Response Testing	+	X	X	+	X	X	+	X	X	IR-3	X	X	X	In support of and/or consistent with IR-1.		[Assignment: organization-defined frequency] [Assignment: organization-defined tests]
IR-3 (1)	Incident Response Testing | Automated Testing										IR-3 (1)	X	X	X			
IR-3 (2)	Incident Response Testing | Coordination With Related Plans		X	X		X	X		X	X	IR-3 (2)	X	X	X			
IR-4	Incident Handling	X	X	X	X	X	X	X	X	X	IR-4	X	X	X		X	
IR-4 (1)	Incident Handling | Automated Incident Handling Processes		X	X		X	X		X	X	IR-4 (1)	X	X	X		X	
IR-4 (2)	Incident Handling | Dynamic Reconfiguration										IR-4 (2)	X	X	X			
IR-4 (3)	Incident Handling | Continuity of Operations		+	+		+	+		+	+	IR-4 (3)	X	X	X	In support of EO 13587. APT.		
IR-4 (4)	Incident Handling | Information Correlation	+	+	X	+	+	X	+	+	X	IR-4 (4)	X	X	X	In support of EO 13587. APT. In support of and/or consistent with IR-5 and IR-6.	X	
IR-4 (5)	Incident Handling | Automatic Disabling of Information System										IR-4 (5)	X	X				
IR-4 (6)	Incident Handling | Insider Threats - Specific Capabilities	+	+	+	+	+	+	+	+	+	IR-4 (6)	X	X	X	In support of EO 13587. Insider Threat. Issuance: CNSSD No. 504.		
IR-4 (7)	Incident Handling | Insider Threats - Intra- Organization Coordination	+	+	+	+	+	+	+	+	+	IR-4 (7)	X	X	X	In support of EO 13587. Insider Threat. Issuance: CNSSD No. 504.		
IR-4 (8)	Incident Handling | Correlation With External Organizations	+	+	+	+	+	+	+	+	+	IR-4 (8)	X	X	X	In support of EO 13587. APT. Insider Threat. In support of and/or consistent with IR-4 (4).		[Assignment: organization-defined external organizations]; [Assignment: organization-defined incident information]
IR-4 (9)	Incident Handling | Dynamic Response Capability										IR-4 (9)	X	X	X			
IR-4 (10)	Incident Handling | Supply Chain Coordination										IR-4 (10)	X	X	X			
IR-5	Incident Monitoring	X	X	X	X	X	X	X	X	X	IR-5	X	X	X		X	
IR-5 (1)	Incident Monitoring | Automated Tracking / Data Collection / Analysis			X			X			X	IR-5 (1)	X	X	X		X	
IR-6	Incident Reporting	X	X	X	X	X	X	X	X	X	IR-6	X	X	X		X	a. [Assignment: organization-defined time period]; b. [Assignment: organization-defined authorities]
IR-6 (1)	Incident Reporting | Automated Reporting		X	X		X	X		X	X	IR-6 (1)	X	X	X		X	
IR-6 (2)	Incident Reporting | Vulnerabilities Related to Incidents	+	+	+	+	+	+	+	+	+	IR-6 (2)	X	X	X	APT. Insider Threat. In support of and/or consistent with IR-4 (4).	X	
IR-6 (3)	Incident Reporting | Coordination With Supply Chain										IR-6 (3)	X	X	X			
